NAME,B19301A_001E,state,county,year
"Fayette County, Illinois",24218.0,17,051,2019
"Logan County, Illinois",30292.0,17,107,2019
"Saline County, Illinois",26286.0,17,165,2019
"Lake County, Illinois",50349.0,17,097,2019
"Massac County, Illinois",24073.0,17,127,2019
"Cass County, Illinois",28362.0,17,017,2019
"Huntington County, Indiana",26908.0,18,069,2019
"White County, Indiana",28784.0,18,181,2019
"Jay County, Indiana",23880.0,18,075,2019
"Shelby County, Indiana",29838.0,18,145,2019
"Sullivan County, Indiana",25319.0,18,153,2019
"Tippecanoe County, Indiana",29790.0,18,157,2019
"Hamilton County, Indiana",50475.0,18,057,2019
"Bartholomew County, Indiana",31881.0,18,005,2019
"Fulton County, Indiana",27346.0,18,049,2019
"Noble County, Indiana",26962.0,18,113,2019
"Clark County, Indiana",29948.0,18,019,2019
"Hendricks County, Indiana",37744.0,18,063,2019
"Grant County, Indiana",23975.0,18,053,2019
"Jackson County, Indiana",26099.0,18,071,2019
"Owen County, Indiana",25063.0,18,119,2019
"Whitley County, Indiana",32289.0,18,183,2019
"Clinton County, Indiana",25354.0,18,023,2019
"Union County, Indiana",26089.0,18,161,2019
"Dearborn County, Indiana",31250.0,18,029,2019
"Lawrence County, Indiana",26949.0,18,093,2019
"Perry County, Indiana",26587.0,18,123,2019
"Posey County, Indiana",32714.0,18,129,2019
"Carroll County, Indiana",29883.0,18,015,2019
"Fountain County, Indiana",28364.0,18,045,2019
"Starke County, Indiana",25104.0,18,149,2019
"Greene County, Indiana",25728.0,18,055,2019
"Benton County, Iowa",33631.0,19,011,2019
"Dubuque County, Iowa",34255.0,19,061,2019
"Pocahontas County, Iowa",30433.0,19,151,2019
"Van Buren County, Iowa",27609.0,19,177,2019
"Adams County, Iowa",28658.0,19,003,2019
"Audubon County, Iowa",30106.0,19,009,2019
"Davis County, Iowa",29866.0,19,051,2019
"Ida County, Iowa",34260.0,19,093,2019
"Monroe County, Iowa",29274.0,19,135,2019
"Sioux County, Iowa",30100.0,19,167,2019
"Calhoun County, Iowa",28991.0,19,025,2019
"Cerro Gordo County, Iowa",33841.0,19,033,2019
"Hardin County, Iowa",29757.0,19,083,2019
"Lucas County, Iowa",31210.0,19,117,2019
"Palo Alto County, Iowa",29306.0,19,147,2019
"Henry County, Iowa",27435.0,19,087,2019
"Jasper County, Iowa",29303.0,19,099,2019
"Poweshiek County, Iowa",33016.0,19,157,2019
"Clayton County, Iowa",28651.0,19,043,2019
"Bremer County, Iowa",33471.0,19,017,2019
"Emmet County, Iowa",29418.0,19,063,2019
"Hancock County, Iowa",30993.0,19,081,2019
"Jackson County, Iowa",30227.0,19,097,2019
"Lee County, Iowa",27303.0,19,111,2019
"Warren County, Iowa",37048.0,19,181,2019
"Mahaska County, Iowa",29006.0,19,123,2019
"Clay County, Iowa",29379.0,19,041,2019
"Delaware County, Iowa",32525.0,19,055,2019
"Bacon County, Georgia",22713.0,13,005,2019
"Brantley County, Georgia",20256.0,13,025,2019
"Ben Hill County, Georgia",21335.0,13,017,2019
"Burke County, Georgia",28750.0,13,033,2019
"Catoosa County, Georgia",27956.0,13,047,2019
"Chattahoochee County, Georgia",25413.0,13,053,2019
"Chattooga County, Georgia",20421.0,13,055,2019
"Columbia County, Georgia",36295.0,13,073,2019
"Decatur County, Georgia",26286.0,13,087,2019
"Floyd County, Georgia",28254.0,13,115,2019
"Forsyth County, Georgia",44095.0,13,117,2019
"Habersham County, Georgia",24579.0,13,137,2019
"Hart County, Georgia",25483.0,13,147,2019
"Lowndes County, Georgia",29126.0,13,185,2019
"McIntosh County, Georgia",30514.0,13,191,2019
"Meriwether County, Georgia",26386.0,13,199,2019
"Monroe County, Georgia",38451.0,13,207,2019
"Putnam County, Georgia",37985.0,13,237,2019
"Sumter County, Georgia",27855.0,13,261,2019
"Taliaferro County, Georgia",25283.0,13,265,2019
"Warren County, Georgia",31232.0,13,301,2019
"Wayne County, Iowa",25898.0,19,185,2019
"Scott County, Iowa",35663.0,19,163,2019
"Sherman County, Kansas",29300.0,20,181,2019
"Thomas County, Kansas",31818.0,20,193,2019
"Morris County, Kansas",30178.0,20,127,2019
"Rooks County, Kansas",26641.0,20,163,2019
"Clark County, Kansas",27682.0,20,025,2019
"Harper County, Kansas",25166.0,20,077,2019
"Lyon County, Kansas",28221.0,20,111,2019
"Pawnee County, Kansas",27022.0,20,145,2019
"Comanche County, Kansas",30345.0,20,033,2019
"Gove County, Kansas",29094.0,20,063,2019
"Harvey County, Kansas",28771.0,20,079,2019
"Kearny County, Kansas",24278.0,20,093,2019
"McPherson County, Kansas",31257.0,20,113,2019
"Desha County, Arkansas",24998.0,05,041,2019
"Fulton County, Arkansas",20161.0,05,049,2019
"Howard County, Arkansas",28670.0,05,061,2019
"Garland County, Arkansas",28596.0,05,051,2019
"Mississippi County, Arkansas",26442.0,05,093,2019
"Pope County, Arkansas",23997.0,05,115,2019
"Prairie County, Arkansas",27821.0,05,117,2019
"Union County, Arkansas",30059.0,05,139,2019
"Woodruff County, Arkansas",26839.0,05,147,2019
"Cleburne County, Arkansas",27579.0,05,023,2019
"Cleveland County, Arkansas",25698.0,05,025,2019
"Jackson County, Arkansas",23022.0,05,067,2019
"Hempstead County, Arkansas",24883.0,05,057,2019
"Sharp County, Arkansas",21534.0,05,135,2019
"Stone County, Arkansas",20995.0,05,137,2019
"Washington County, Arkansas",31251.0,05,143,2019
"Baxter County, Arkansas",27034.0,05,005,2019
"Ashley County, Arkansas",27330.0,05,003,2019
"Craighead County, Arkansas",29161.0,05,031,2019
"Greene County, Arkansas",24177.0,05,055,2019
"Perry County, Arkansas",23489.0,05,105,2019
"Poinsett County, Arkansas",22264.0,05,111,2019
"Sevier County, Arkansas",26774.0,05,133,2019
"Calhoun County, Arkansas",26129.0,05,013,2019
"Clark County, Arkansas",23504.0,05,019,2019
"Lawrence County, Arkansas",21763.0,05,075,2019
"Monroe County, Arkansas",27761.0,05,095,2019
"Conway County, Arkansas",26096.0,05,029,2019
"Newton County, Arkansas",19710.0,05,101,2019
"Arkansas County, Arkansas",30333.0,05,001,2019
"Lonoke County, Arkansas",28471.0,05,085,2019
"Carroll County, Arkansas",26083.0,05,015,2019
"St. Francis County, Arkansas",24268.0,05,123,2019
"Pulaski County, Arkansas",41680.0,05,119,2019
"Merced County, California",27872.0,06,047,2019
"Mariposa County, California",29080.0,06,043,2019
"Modoc County, California",24108.0,06,049,2019
"Contra Costa County, California",57429.0,06,013,2019
"Inyo County, California",34697.0,06,027,2019
"Stanislaus County, California",27556.0,06,099,2019
"Santa Barbara County, California",39183.0,06,083,2019
"Tehama County, California",25783.0,06,103,2019
"Mono County, California",37131.0,06,051,2019
"San Benito County, California",34149.0,06,069,2019
"Bryan County, Georgia",33931.0,13,029,2019
"Butts County, Georgia",26775.0,13,035,2019
"Camden County, Georgia",32650.0,13,039,2019
"Crawford County, Georgia",25112.0,13,079,2019
"Early County, Georgia",24830.0,13,099,2019
"Coffee County, Georgia",23649.0,13,069,2019
"Coweta County, Georgia",36546.0,13,077,2019
"Gilmer County, Georgia",28656.0,13,123,2019
"Walton County, Georgia",30733.0,13,297,2019
"Wilkes County, Georgia",32724.0,13,317,2019
"Dodge County, Georgia",24316.0,13,091,2019
"Gordon County, Georgia",25291.0,13,129,2019
"Cherokee County, Georgia",37896.0,13,057,2019
"Fayette County, Georgia",48041.0,13,113,2019
"Lee County, Georgia",31394.0,13,177,2019
"Pickens County, Georgia",32904.0,13,227,2019
"Greene County, Georgia",53449.0,13,133,2019
"Cook County, Georgia",23246.0,13,075,2019
"Dawson County, Georgia",34695.0,13,085,2019
"Fulton County, Georgia",69682.0,13,121,2019
"Hawaii County, Hawaii",41348.0,15,001,2019
"Honolulu County, Hawaii",48386.0,15,003,2019
"Kauai County, Hawaii",44008.0,15,007,2019
"Kalawao County, Hawaii",56906.0,15,005,2019
"Cassia County, Idaho",21905.0,16,031,2019
"Lincoln County, Idaho",22058.0,16,063,2019
"Valley County, Idaho",33784.0,16,085,2019
"Franklin County, Idaho",24682.0,16,041,2019
"Nez Perce County, Idaho",30938.0,16,069,2019
"Kootenai County, Idaho",30438.0,16,055,2019
"Minidoka County, Idaho",24941.0,16,067,2019
"Twin Falls County, Idaho",25860.0,16,083,2019
"Blaine County, Idaho",34487.0,16,013,2019
"Boise County, Idaho",32539.0,16,015,2019
"Butte County, Idaho",30244.0,16,023,2019
"Gooding County, Idaho",24124.0,16,047,2019
"Ada County, Idaho",35866.0,16,001,2019
"Bear Lake County, Idaho",27110.0,16,007,2019
"Bingham County, Idaho",24944.0,16,011,2019
"Camas County, Idaho",30213.0,16,025,2019
"Clearwater County, Idaho",23886.0,16,035,2019
"Jefferson County, Idaho",25632.0,16,051,2019
"Lane County, Oregon",31162.0,41,039,2019
"Surry County, Virginia",34255.0,51,181,2019
"Clarke County, Virginia",44079.0,51,043,2019
"Mecklenburg County, Virginia",29923.0,51,117,2019
"Augusta County, Virginia",31431.0,51,015,2019
"Goochland County, Virginia",58034.0,51,075,2019
"Madison County, Virginia",32350.0,51,113,2019
"Roanoke County, Virginia",37416.0,51,161,2019
"Brunswick County, Virginia",30687.0,51,025,2019
"Northampton County, Virginia",33988.0,51,131,2019
"Rockbridge County, Virginia",31995.0,51,163,2019
"Norton city, Virginia",22929.0,51,720,2019
"Colonial Heights city, Virginia",31774.0,51,570,2019
"Bland County, Virginia",23612.0,51,021,2019
"Botetourt County, Virginia",36577.0,51,023,2019
"Bristol city, Virginia",23892.0,51,520,2019
"Williamsburg city, Virginia",34632.0,51,830,2019
"Carroll County, Virginia",25902.0,51,035,2019
"Sacramento County, California",38215.0,06,067,2019
"El Dorado County, California",44005.0,06,017,2019
"Monterey County, California",39029.0,06,053,2019
"San Francisco County, California",93221.0,06,075,2019
"San Diego County, California",40942.0,06,073,2019
"Tulare County, California",22592.0,06,107,2019
"Humboldt County, California",31040.0,06,023,2019
"Alpine County, California",49825.0,06,003,2019
"Madera County, California",25155.0,06,039,2019
"Santa Cruz County, California",46949.0,06,087,2019
"Trinity County, California",27109.0,06,105,2019
"Riverside County, California",32909.0,06,065,2019
"San Bernardino County, California",26869.0,06,071,2019
"Marin County, California",82316.0,06,041,2019
"Placer County, California",45277.0,06,061,2019
"Shasta County, California",30804.0,06,089,2019
"Solano County, California",40248.0,06,095,2019
"Colusa County, California",27611.0,06,011,2019
"Copiah County, Mississippi",28264.0,28,029,2019
"Hinds County, Mississippi",38274.0,28,049,2019
"Union County, Mississippi",23420.0,28,145,2019
"Tippah County, Mississippi",21018.0,28,139,2019
"Forrest County, Mississippi",27413.0,28,035,2019
"Lafayette County, Mississippi",31463.0,28,071,2019
"Lowndes County, Mississippi",34355.0,28,087,2019
"Wilkinson County, Mississippi",27971.0,28,157,2019
"Jefferson Davis County, Mississippi",28185.0,28,065,2019
"Scott County, Mississippi",27185.0,28,123,2019
"Yazoo County, Mississippi",22756.0,28,163,2019
"Bolivar County, Mississippi",30996.0,28,011,2019
"Pike County, Mississippi",23992.0,28,113,2019
"Stone County, Mississippi",26985.0,28,131,2019
"Kemper County, Mississippi",24826.0,28,069,2019
"Sunflower County, Mississippi",26876.0,28,133,2019
"Adams County, Mississippi",24281.0,28,001,2019
"DeSoto County, Mississippi",33643.0,28,033,2019
"Delaware County, Pennsylvania",46671.0,42,045,2019
"Somerset County, Pennsylvania",26540.0,42,111,2019
"Madison County, Missouri",24672.0,29,123,2019
"Vernon County, Missouri",24959.0,29,217,2019
"Nodaway County, Missouri",23558.0,29,147,2019
"Chariton County, Missouri",24480.0,29,041,2019
"Wayne County, Missouri",19519.0,29,223,2019
"Scott County, Missouri",26967.0,29,201,2019
"Barton County, Missouri",27167.0,29,011,2019
"Cedar County, Missouri",23063.0,29,039,2019
"Gasconade County, Missouri",28612.0,29,073,2019
"Macon County, Missouri",22673.0,29,121,2019
"Oregon County, Missouri",18432.0,29,149,2019
"Ste. Genevieve County, Missouri",30133.0,29,186,2019
"Douglas County, Missouri",20507.0,29,067,2019
"Henry County, Missouri",27641.0,29,083,2019
"Lawrence County, Missouri",23449.0,29,109,2019
"Pulaski County, Missouri",24653.0,29,169,2019
"Texas County, Missouri",20548.0,29,215,2019
"Callaway County, Missouri",26859.0,29,027,2019
"Cooper County, Missouri",25426.0,29,053,2019
"Gentry County, Missouri",24467.0,29,075,2019
"Washington County, Virginia",27919.0,51,191,2019
"Page County, Virginia",25597.0,51,139,2019
"Alexandria city, Virginia",77495.0,51,510,2019
"Hampton city, Virginia",35019.0,51,650,2019
"Arlington County, Virginia",81775.0,51,013,2019
"Buchanan County, Virginia",19779.0,51,027,2019
"Stafford County, Virginia",44921.0,51,179,2019
"Richmond city, Virginia",49737.0,51,760,2019
"Essex County, Virginia",32461.0,51,057,2019
"Tazewell County, Virginia",24146.0,51,185,2019
"Manassas Park city, Virginia",34303.0,51,685,2019
"Sussex County, Virginia",27668.0,51,183,2019
"Manassas city, Virginia",35849.0,51,683,2019
"Salem city, Virginia",33639.0,51,775,2019
"Charlotte County, Virginia",24333.0,51,037,2019
"Greensville County, Virginia",25569.0,51,081,2019
"Thurston County, Washington",37321.0,53,067,2019
"Columbia County, Washington",39164.0,53,013,2019
"Guayanilla Municipio, Puerto Rico",9373.0,72,059,2019
"Sabana Grande Municipio, Puerto Rico",9524.0,72,121,2019
"Hormigueros Municipio, Puerto Rico",14040.0,72,067,2019
"Utuado Municipio, Puerto Rico",8788.0,72,141,2019
"Florida Municipio, Puerto Rico",9634.0,72,054,2019
"Moca Municipio, Puerto Rico",10495.0,72,099,2019
"Salinas Municipio, Puerto Rico",9762.0,72,123,2019
"Mississippi County, Missouri",21533.0,29,133,2019
"Ozark County, Missouri",19302.0,29,153,2019
"Bollinger County, Missouri",21412.0,29,017,2019
"Sumner County, Tennessee",34945.0,47,165,2019
"Trousdale County, Tennessee",26180.0,47,169,2019
"Clay County, Tennessee",19560.0,47,027,2019
"Moultrie County, Illinois",29769.0,17,139,2019
"Pike County, Illinois",26648.0,17,149,2019
"Pope County, Illinois",23298.0,17,151,2019
"St. Clair County, Illinois",36505.0,17,163,2019
"Shelby County, Illinois",27128.0,17,173,2019
"Champaign County, Illinois",34563.0,17,019,2019
"Calhoun County, Illinois",28640.0,17,013,2019
"Ford County, Illinois",29366.0,17,053,2019
"Kane County, Illinois",41559.0,17,089,2019
"Kendall County, Illinois",38321.0,17,093,2019
"Brown County, Illinois",28506.0,17,009,2019
"Marion County, Illinois",26095.0,17,121,2019
"Mason County, Illinois",28899.0,17,125,2019
"Iroquois County, Illinois",28216.0,17,075,2019
"Clay County, Illinois",27252.0,17,025,2019
"Gallatin County, Illinois",34020.0,17,059,2019
"Monroe County, Illinois",42353.0,17,133,2019
"Union County, Illinois",26900.0,17,181,2019
"Winnebago County, Illinois",31917.0,17,201,2019
"Pulaski County, Illinois",26171.0,17,153,2019
"Schuyler County, Illinois",26539.0,17,169,2019
"Edgar County, Illinois",27895.0,17,045,2019
"Boone County, Illinois",33477.0,17,007,2019
"Bureau County, Illinois",30928.0,17,011,2019
"Coles County, Illinois",28962.0,17,029,2019
"Crawford County, Illinois",28116.0,17,033,2019
"Putnam County, Illinois",34773.0,17,155,2019
"De Witt County, Illinois",31433.0,17,039,2019
"Lee County, Illinois",31801.0,17,103,2019
"Macoupin County, Illinois",29222.0,17,117,2019
"Richland County, Illinois",26840.0,17,159,2019
"Washington County, Illinois",33373.0,17,189,2019
"Washington County, Oregon",41310.0,41,067,2019
"Clatsop County, Oregon",30410.0,41,007,2019
"Cameron County, Pennsylvania",24822.0,42,023,2019
"Bucks County, Pennsylvania",47611.0,42,017,2019
"Lehigh County, Pennsylvania",36653.0,42,077,2019
"Clarion County, Pennsylvania",25501.0,42,031,2019
"Greene County, Pennsylvania",28590.0,42,059,2019
"Luzerne County, Pennsylvania",30964.0,42,079,2019
"Columbia County, Pennsylvania",27256.0,42,037,2019
"Jefferson County, Pennsylvania",25683.0,42,065,2019
"Perry County, Pennsylvania",31100.0,42,099,2019
"Sullivan County, Pennsylvania",31281.0,42,113,2019
"Kent County, Rhode Island",40460.0,44,003,2019
"Washington County, Rhode Island",44094.0,44,009,2019
"Newberry County, South Carolina",29338.0,45,071,2019
"Clarendon County, South Carolina",30386.0,45,027,2019
"Sumter County, South Carolina",29685.0,45,085,2019
"Barnwell County, South Carolina",25563.0,45,011,2019
"Darlington County, South Carolina",28743.0,45,031,2019
"York County, South Carolina",37912.0,45,091,2019
"Cherokee County, South Carolina",23405.0,45,021,2019
"Jasper County, South Carolina",32166.0,45,053,2019
"Lee County, South Carolina",27842.0,45,061,2019
"Abbeville County, South Carolina",25245.0,45,001,2019
