NAME,B19301E_001E,state,county,year
"Fayette County, Illinois",,17,051,2019
"Logan County, Illinois",,17,107,2019
"Saline County, Illinois",9337.0,17,165,2019
"Lake County, Illinois",63726.0,17,097,2019
"Massac County, Illinois",-666666666.0,17,127,2019
"Cass County, Illinois",,17,017,2019
"Huntington County, Indiana",,18,069,2019
"White County, Indiana",,18,181,2019
"Jay County, Indiana",,18,075,2019
"Shelby County, Indiana",,18,145,2019
"Sullivan County, Indiana",,18,153,2019
"Tippecanoe County, Indiana",36171.0,18,157,2019
"Hamilton County, Indiana",20310.0,18,057,2019
"Bartholomew County, Indiana",,18,005,2019
"Fulton County, Indiana",,18,049,2019
"Noble County, Indiana",,18,113,2019
"Clark County, Indiana",,18,019,2019
"Hendricks County, Indiana",,18,063,2019
"Grant County, Indiana",-666666666.0,18,053,2019
"Jackson County, Indiana",,18,071,2019
"Owen County, Indiana",-666666666.0,18,119,2019
"Whitley County, Indiana",-666666666.0,18,183,2019
"Clinton County, Indiana",56736.0,18,023,2019
"Union County, Indiana",-666666666.0,18,161,2019
"Dearborn County, Indiana",,18,029,2019
"Lawrence County, Indiana",,18,093,2019
"Perry County, Indiana",-666666666.0,18,123,2019
"Posey County, Indiana",-666666666.0,18,129,2019
"Carroll County, Indiana",,18,015,2019
"Fountain County, Indiana",-666666666.0,18,045,2019
"Starke County, Indiana",-666666666.0,18,149,2019
"Greene County, Indiana",,18,055,2019
"Benton County, Iowa",-666666666.0,19,011,2019
"Dubuque County, Iowa",8179.0,19,061,2019
"Pocahontas County, Iowa",14371.0,19,151,2019
"Van Buren County, Iowa",-666666666.0,19,177,2019
"Adams County, Iowa",-666666666.0,19,003,2019
"Audubon County, Iowa",-666666666.0,19,009,2019
"Davis County, Iowa",-666666666.0,19,051,2019
"Ida County, Iowa",-666666666.0,19,093,2019
"Monroe County, Iowa",-666666666.0,19,135,2019
"Sioux County, Iowa",,19,167,2019
"Calhoun County, Iowa",-666666666.0,19,025,2019
"Cerro Gordo County, Iowa",,19,033,2019
"Hardin County, Iowa",,19,083,2019
"Lucas County, Iowa",-666666666.0,19,117,2019
"Palo Alto County, Iowa",-666666666.0,19,147,2019
"Henry County, Iowa",,19,087,2019
"Jasper County, Iowa",-666666666.0,19,099,2019
"Poweshiek County, Iowa",-666666666.0,19,157,2019
"Clayton County, Iowa",-666666666.0,19,043,2019
"Bremer County, Iowa",,19,017,2019
"Emmet County, Iowa",-666666666.0,19,063,2019
"Hancock County, Iowa",,19,081,2019
"Jackson County, Iowa",,19,097,2019
"Lee County, Iowa",,19,111,2019
"Warren County, Iowa",10150.0,19,181,2019
"Mahaska County, Iowa",,19,123,2019
"Clay County, Iowa",,19,041,2019
"Delaware County, Iowa",-666666666.0,19,055,2019
"Bacon County, Georgia",,13,005,2019
"Brantley County, Georgia",-666666666.0,13,025,2019
"Ben Hill County, Georgia",-666666666.0,13,017,2019
"Burke County, Georgia",-666666666.0,13,033,2019
"Catoosa County, Georgia",,13,047,2019
"Chattahoochee County, Georgia",,13,053,2019
"Chattooga County, Georgia",-666666666.0,13,055,2019
"Columbia County, Georgia",-666666666.0,13,073,2019
"Decatur County, Georgia",-666666666.0,13,087,2019
"Floyd County, Georgia",-666666666.0,13,115,2019
"Forsyth County, Georgia",10488.0,13,117,2019
"Habersham County, Georgia",5744.0,13,137,2019
"Hart County, Georgia",-666666666.0,13,147,2019
"Lowndes County, Georgia",16190.0,13,185,2019
"McIntosh County, Georgia",,13,191,2019
"Meriwether County, Georgia",-666666666.0,13,199,2019
"Monroe County, Georgia",-666666666.0,13,207,2019
"Putnam County, Georgia",-666666666.0,13,237,2019
"Sumter County, Georgia",-666666666.0,13,261,2019
"Taliaferro County, Georgia",-666666666.0,13,265,2019
"Warren County, Georgia",-666666666.0,13,301,2019
"Wayne County, Iowa",-666666666.0,19,185,2019
"Scott County, Iowa",,19,163,2019
"Sherman County, Kansas",-666666666.0,20,181,2019
"Thomas County, Kansas",-666666666.0,20,193,2019
"Morris County, Kansas",-666666666.0,20,127,2019
"Rooks County, Kansas",,20,163,2019
"Clark County, Kansas",-666666666.0,20,025,2019
"Harper County, Kansas",,20,077,2019
"Lyon County, Kansas",-666666666.0,20,111,2019
"Pawnee County, Kansas",-666666666.0,20,145,2019
"Comanche County, Kansas",-666666666.0,20,033,2019
"Gove County, Kansas",-666666666.0,20,063,2019
"Harvey County, Kansas",24461.0,20,079,2019
"Kearny County, Kansas",-666666666.0,20,093,2019
"McPherson County, Kansas",,20,113,2019
"Desha County, Arkansas",-666666666.0,05,041,2019
"Fulton County, Arkansas",,05,049,2019
"Howard County, Arkansas",,05,061,2019
"Garland County, Arkansas",-666666666.0,05,051,2019
"Mississippi County, Arkansas",,05,093,2019
"Pope County, Arkansas",-666666666.0,05,115,2019
"Prairie County, Arkansas",-666666666.0,05,117,2019
"Union County, Arkansas",-666666666.0,05,139,2019
"Woodruff County, Arkansas",-666666666.0,05,147,2019
"Cleburne County, Arkansas",-666666666.0,05,023,2019
"Cleveland County, Arkansas",-666666666.0,05,025,2019
"Jackson County, Arkansas",,05,067,2019
"Hempstead County, Arkansas",,05,057,2019
"Sharp County, Arkansas",-666666666.0,05,135,2019
"Stone County, Arkansas",-666666666.0,05,137,2019
"Washington County, Arkansas",10221.0,05,143,2019
"Baxter County, Arkansas",,05,005,2019
"Ashley County, Arkansas",-666666666.0,05,003,2019
"Craighead County, Arkansas",,05,031,2019
"Greene County, Arkansas",,05,055,2019
"Perry County, Arkansas",-666666666.0,05,105,2019
"Poinsett County, Arkansas",-666666666.0,05,111,2019
"Sevier County, Arkansas",1104.0,05,133,2019
"Calhoun County, Arkansas",,05,013,2019
"Clark County, Arkansas",,05,019,2019
"Lawrence County, Arkansas",,05,075,2019
"Monroe County, Arkansas",-666666666.0,05,095,2019
"Conway County, Arkansas",-666666666.0,05,029,2019
"Newton County, Arkansas",,05,101,2019
"Arkansas County, Arkansas",-666666666.0,05,001,2019
"Lonoke County, Arkansas",25470.0,05,085,2019
"Carroll County, Arkansas",6729.0,05,015,2019
"St. Francis County, Arkansas",,05,123,2019
"Pulaski County, Arkansas",60001.0,05,119,2019
"Merced County, California",22110.0,06,047,2019
"Mariposa County, California",21126.0,06,043,2019
"Modoc County, California",,06,049,2019
"Contra Costa County, California",30596.0,06,013,2019
"Inyo County, California",10088.0,06,027,2019
"Stanislaus County, California",18760.0,06,099,2019
"Santa Barbara County, California",43682.0,06,083,2019
"Tehama County, California",,06,103,2019
"Mono County, California",-666666666.0,06,051,2019
"San Benito County, California",81470.0,06,069,2019
"Bryan County, Georgia",,13,029,2019
"Butts County, Georgia",-666666666.0,13,035,2019
"Camden County, Georgia",65620.0,13,039,2019
"Crawford County, Georgia",-666666666.0,13,079,2019
"Early County, Georgia",-666666666.0,13,099,2019
"Coffee County, Georgia",-666666666.0,13,069,2019
"Coweta County, Georgia",,13,077,2019
"Gilmer County, Georgia",,13,123,2019
"Walton County, Georgia",22848.0,13,297,2019
"Wilkes County, Georgia",-666666666.0,13,317,2019
"Dodge County, Georgia",-666666666.0,13,091,2019
"Gordon County, Georgia",22654.0,13,129,2019
"Cherokee County, Georgia",,13,057,2019
"Fayette County, Georgia",65133.0,13,113,2019
"Lee County, Georgia",,13,177,2019
"Pickens County, Georgia",,13,227,2019
"Greene County, Georgia",,13,133,2019
"Cook County, Georgia",-666666666.0,13,075,2019
"Dawson County, Georgia",-666666666.0,13,085,2019
"Fulton County, Georgia",147049.0,13,121,2019
"Hawaii County, Hawaii",21284.0,15,001,2019
"Honolulu County, Hawaii",23238.0,15,003,2019
"Kauai County, Hawaii",22685.0,15,007,2019
"Kalawao County, Hawaii",60767.0,15,005,2019
"Cassia County, Idaho",5907.0,16,031,2019
"Lincoln County, Idaho",-666666666.0,16,063,2019
"Valley County, Idaho",-666666666.0,16,085,2019
"Franklin County, Idaho",,16,041,2019
"Nez Perce County, Idaho",,16,069,2019
"Kootenai County, Idaho",11781.0,16,055,2019
"Minidoka County, Idaho",,16,067,2019
"Twin Falls County, Idaho",,16,083,2019
"Blaine County, Idaho",,16,013,2019
"Boise County, Idaho",,16,015,2019
"Butte County, Idaho",-666666666.0,16,023,2019
"Gooding County, Idaho",47978.0,16,047,2019
"Ada County, Idaho",35096.0,16,001,2019
"Bear Lake County, Idaho",-666666666.0,16,007,2019
"Bingham County, Idaho",,16,011,2019
"Camas County, Idaho",-666666666.0,16,025,2019
"Clearwater County, Idaho",,16,035,2019
"Jefferson County, Idaho",22893.0,16,051,2019
"Lane County, Oregon",17675.0,41,039,2019
"Surry County, Virginia",-666666666.0,51,181,2019
"Clarke County, Virginia",-666666666.0,51,043,2019
"Mecklenburg County, Virginia",,51,117,2019
"Augusta County, Virginia",50499.0,51,015,2019
"Goochland County, Virginia",-666666666.0,51,075,2019
"Madison County, Virginia",-666666666.0,51,113,2019
"Roanoke County, Virginia",,51,161,2019
"Brunswick County, Virginia",-666666666.0,51,025,2019
"Northampton County, Virginia",-666666666.0,51,131,2019
"Rockbridge County, Virginia",-666666666.0,51,163,2019
"Norton city, Virginia",-666666666.0,51,720,2019
"Colonial Heights city, Virginia",,51,570,2019
"Bland County, Virginia",-666666666.0,51,021,2019
"Botetourt County, Virginia",-666666666.0,51,023,2019
"Bristol city, Virginia",-666666666.0,51,520,2019
"Williamsburg city, Virginia",-666666666.0,51,830,2019
"Carroll County, Virginia",-666666666.0,51,035,2019
"Sacramento County, California",23731.0,06,067,2019
"El Dorado County, California",29892.0,06,017,2019
"Monterey County, California",27751.0,06,053,2019
"San Francisco County, California",33183.0,06,075,2019
"San Diego County, California",31053.0,06,073,2019
"Tulare County, California",14456.0,06,107,2019
"Humboldt County, California",25715.0,06,023,2019
"Alpine County, California",,06,003,2019
"Madera County, California",25271.0,06,039,2019
"Santa Cruz County, California",22354.0,06,087,2019
"Trinity County, California",,06,105,2019
"Riverside County, California",26904.0,06,065,2019
"San Bernardino County, California",21968.0,06,071,2019
"Marin County, California",7158.0,06,041,2019
"Placer County, California",37356.0,06,061,2019
"Shasta County, California",13899.0,06,089,2019
"Solano County, California",29694.0,06,095,2019
"Colusa County, California",38187.0,06,011,2019
"Copiah County, Mississippi",-666666666.0,28,029,2019
"Hinds County, Mississippi",39095.0,28,049,2019
"Union County, Mississippi",-666666666.0,28,145,2019
"Tippah County, Mississippi",,28,139,2019
"Forrest County, Mississippi",2453.0,28,035,2019
"Lafayette County, Mississippi",,28,071,2019
"Lowndes County, Mississippi",,28,087,2019
"Wilkinson County, Mississippi",-666666666.0,28,157,2019
"Jefferson Davis County, Mississippi",-666666666.0,28,065,2019
"Scott County, Mississippi",-666666666.0,28,123,2019
"Yazoo County, Mississippi",-666666666.0,28,163,2019
"Bolivar County, Mississippi",-666666666.0,28,011,2019
"Pike County, Mississippi",-666666666.0,28,113,2019
"Stone County, Mississippi",,28,131,2019
"Kemper County, Mississippi",-666666666.0,28,069,2019
"Sunflower County, Mississippi",-666666666.0,28,133,2019
"Adams County, Mississippi",-666666666.0,28,001,2019
"DeSoto County, Mississippi",,28,033,2019
"Delaware County, Pennsylvania",14536.0,42,045,2019
"Somerset County, Pennsylvania",,42,111,2019
"Madison County, Missouri",-666666666.0,29,123,2019
"Vernon County, Missouri",-666666666.0,29,217,2019
"Nodaway County, Missouri",,29,147,2019
"Chariton County, Missouri",-666666666.0,29,041,2019
"Wayne County, Missouri",-666666666.0,29,223,2019
"Scott County, Missouri",-666666666.0,29,201,2019
"Barton County, Missouri",,29,011,2019
"Cedar County, Missouri",-666666666.0,29,039,2019
"Gasconade County, Missouri",-666666666.0,29,073,2019
"Macon County, Missouri",,29,121,2019
"Oregon County, Missouri",,29,149,2019
"Ste. Genevieve County, Missouri",-666666666.0,29,186,2019
"Douglas County, Missouri",-666666666.0,29,067,2019
"Henry County, Missouri",,29,083,2019
"Lawrence County, Missouri",,29,109,2019
"Pulaski County, Missouri",10467.0,29,169,2019
"Texas County, Missouri",,29,215,2019
"Callaway County, Missouri",,29,027,2019
"Cooper County, Missouri",,29,053,2019
"Gentry County, Missouri",,29,075,2019
"Washington County, Virginia",,51,191,2019
"Page County, Virginia",-666666666.0,51,139,2019
"Alexandria city, Virginia",27483.0,51,510,2019
"Hampton city, Virginia",31458.0,51,650,2019
"Arlington County, Virginia",16244.0,51,013,2019
"Buchanan County, Virginia",-666666666.0,51,027,2019
"Stafford County, Virginia",33514.0,51,179,2019
"Richmond city, Virginia",30411.0,51,760,2019
"Essex County, Virginia",-666666666.0,51,057,2019
"Tazewell County, Virginia",,51,185,2019
"Manassas Park city, Virginia",,51,685,2019
"Sussex County, Virginia",-666666666.0,51,183,2019
"Manassas city, Virginia",39800.0,51,683,2019
"Salem city, Virginia",,51,775,2019
"Charlotte County, Virginia",-666666666.0,51,037,2019
"Greensville County, Virginia",-666666666.0,51,081,2019
"Thurston County, Washington",26723.0,53,067,2019
"Columbia County, Washington",,53,013,2019
"Guayanilla Municipio, Puerto Rico",-666666666.0,72,059,2019
"Sabana Grande Municipio, Puerto Rico",-666666666.0,72,121,2019
"Hormigueros Municipio, Puerto Rico",-666666666.0,72,067,2019
"Utuado Municipio, Puerto Rico",-666666666.0,72,141,2019
"Florida Municipio, Puerto Rico",-666666666.0,72,054,2019
"Moca Municipio, Puerto Rico",-666666666.0,72,099,2019
"Salinas Municipio, Puerto Rico",-666666666.0,72,123,2019
"Mississippi County, Missouri",,29,133,2019
"Ozark County, Missouri",-666666666.0,29,153,2019
"Bollinger County, Missouri",-666666666.0,29,017,2019
"Sumner County, Tennessee",33163.0,47,165,2019
"Trousdale County, Tennessee",-666666666.0,47,169,2019
"Clay County, Tennessee",-666666666.0,47,027,2019
"Moultrie County, Illinois",-666666666.0,17,139,2019
"Pike County, Illinois",-666666666.0,17,149,2019
"Pope County, Illinois",-666666666.0,17,151,2019
"St. Clair County, Illinois",44965.0,17,163,2019
"Shelby County, Illinois",,17,173,2019
"Champaign County, Illinois",24501.0,17,019,2019
"Calhoun County, Illinois",-666666666.0,17,013,2019
"Ford County, Illinois",,17,053,2019
"Kane County, Illinois",14535.0,17,089,2019
"Kendall County, Illinois",-666666666.0,17,093,2019
