NAME,B23025_003E,state,county,year
"Fayette County, Illinois",9285.0,17,051,2019
"Logan County, Illinois",13164.0,17,107,2019
"Saline County, Illinois",10718.0,17,165,2019
"Lake County, Illinois",371283.0,17,097,2019
"Massac County, Illinois",5895.0,17,127,2019
"Cass County, Illinois",6392.0,17,017,2019
"Huntington County, Indiana",19118.0,18,069,2019
"White County, Indiana",11748.0,18,181,2019
"Jay County, Indiana",9992.0,18,075,2019
"Shelby County, Indiana",23047.0,18,145,2019
"Sullivan County, Indiana",9031.0,18,153,2019
"Tippecanoe County, Indiana",101058.0,18,157,2019
"Hamilton County, Indiana",177633.0,18,057,2019
"Bartholomew County, Indiana",41919.0,18,005,2019
"Fulton County, Indiana",9744.0,18,049,2019
"Noble County, Indiana",23900.0,18,113,2019
"Clark County, Indiana",61202.0,18,019,2019
"Hendricks County, Indiana",89848.0,18,063,2019
"Grant County, Indiana",31332.0,18,053,2019
"Jackson County, Indiana",21633.0,18,071,2019
"Owen County, Indiana",10238.0,18,119,2019
"Whitley County, Indiana",17848.0,18,183,2019
"Clinton County, Indiana",15794.0,18,023,2019
"Union County, Indiana",3445.0,18,161,2019
"Dearborn County, Indiana",25713.0,18,029,2019
"Lawrence County, Indiana",21872.0,18,093,2019
"Perry County, Indiana",8635.0,18,123,2019
"Posey County, Indiana",12934.0,18,129,2019
"Carroll County, Indiana",9667.0,18,015,2019
"Fountain County, Indiana",7946.0,18,045,2019
"Starke County, Indiana",10260.0,18,149,2019
"Greene County, Indiana",15052.0,18,055,2019
"Benton County, Iowa",13678.0,19,011,2019
"Dubuque County, Iowa",52569.0,19,061,2019
"Pocahontas County, Iowa",3434.0,19,151,2019
"Van Buren County, Iowa",3219.0,19,177,2019
"Adams County, Iowa",1742.0,19,003,2019
"Audubon County, Iowa",2958.0,19,009,2019
"Davis County, Iowa",4333.0,19,051,2019
"Ida County, Iowa",3543.0,19,093,2019
"Monroe County, Iowa",3940.0,19,135,2019
"Sioux County, Iowa",19250.0,19,167,2019
"Calhoun County, Iowa",4416.0,19,025,2019
"Cerro Gordo County, Iowa",23098.0,19,033,2019
"Hardin County, Iowa",8644.0,19,083,2019
"Lucas County, Iowa",4258.0,19,117,2019
"Palo Alto County, Iowa",4648.0,19,147,2019
"Henry County, Iowa",9802.0,19,087,2019
"Jasper County, Iowa",18734.0,19,099,2019
"Poweshiek County, Iowa",10000.0,19,157,2019
"Clayton County, Iowa",9313.0,19,043,2019
"Bremer County, Iowa",13467.0,19,017,2019
"Emmet County, Iowa",4896.0,19,063,2019
"Hancock County, Iowa",5774.0,19,081,2019
"Jackson County, Iowa",9911.0,19,097,2019
"Lee County, Iowa",16715.0,19,111,2019
"Warren County, Iowa",27172.0,19,181,2019
"Mahaska County, Iowa",11496.0,19,123,2019
"Clay County, Iowa",8467.0,19,041,2019
"Delaware County, Iowa",9445.0,19,055,2019
"Bacon County, Georgia",4302.0,13,005,2019
"Brantley County, Georgia",7186.0,13,025,2019
"Ben Hill County, Georgia",6508.0,13,017,2019
"Burke County, Georgia",9792.0,13,033,2019
"Catoosa County, Georgia",32631.0,13,047,2019
"Chattahoochee County, Georgia",2501.0,13,053,2019
"Chattooga County, Georgia",9641.0,13,055,2019
"Columbia County, Georgia",72009.0,13,073,2019
"Decatur County, Georgia",10883.0,13,087,2019
"Floyd County, Georgia",44108.0,13,115,2019
"Forsyth County, Georgia",119093.0,13,117,2019
"Habersham County, Georgia",19343.0,13,137,2019
"Hart County, Georgia",10406.0,13,147,2019
"Lowndes County, Georgia",51172.0,13,185,2019
"McIntosh County, Georgia",6459.0,13,191,2019
"Meriwether County, Georgia",8601.0,13,199,2019
"Monroe County, Georgia",12181.0,13,207,2019
"Putnam County, Georgia",9914.0,13,237,2019
"Sumter County, Georgia",12908.0,13,261,2019
"Taliaferro County, Georgia",645.0,13,265,2019
"Warren County, Georgia",2222.0,13,301,2019
"Wayne County, Iowa",2847.0,19,185,2019
"Scott County, Iowa",87948.0,19,163,2019
"Sherman County, Kansas",3039.0,20,181,2019
"Thomas County, Kansas",4328.0,20,193,2019
"Morris County, Kansas",2786.0,20,127,2019
"Rooks County, Kansas",2543.0,20,163,2019
"Clark County, Kansas",1003.0,20,025,2019
"Harper County, Kansas",2516.0,20,077,2019
"Lyon County, Kansas",18327.0,20,111,2019
"Pawnee County, Kansas",2761.0,20,145,2019
"Comanche County, Kansas",954.0,20,033,2019
"Gove County, Kansas",1309.0,20,063,2019
"Harvey County, Kansas",17621.0,20,079,2019
"Kearny County, Kansas",1696.0,20,093,2019
"McPherson County, Kansas",15125.0,20,113,2019
"Desha County, Arkansas",4969.0,05,041,2019
"Fulton County, Arkansas",4322.0,05,049,2019
"Howard County, Arkansas",6011.0,05,061,2019
"Garland County, Arkansas",43613.0,05,051,2019
"Mississippi County, Arkansas",19129.0,05,093,2019
"Pope County, Arkansas",28577.0,05,115,2019
"Prairie County, Arkansas",3712.0,05,117,2019
"Union County, Arkansas",16405.0,05,139,2019
"Woodruff County, Arkansas",2879.0,05,147,2019
"Cleburne County, Arkansas",10779.0,05,023,2019
"Cleveland County, Arkansas",3239.0,05,025,2019
"Jackson County, Arkansas",5992.0,05,067,2019
"Hempstead County, Arkansas",9663.0,05,057,2019
"Sharp County, Arkansas",6226.0,05,135,2019
"Stone County, Arkansas",4829.0,05,137,2019
"Washington County, Arkansas",116950.0,05,143,2019
"Baxter County, Arkansas",16824.0,05,005,2019
"Ashley County, Arkansas",8242.0,05,003,2019
"Craighead County, Arkansas",53051.0,05,031,2019
"Greene County, Arkansas",20311.0,05,055,2019
"Perry County, Arkansas",4014.0,05,105,2019
"Poinsett County, Arkansas",10409.0,05,111,2019
"Sevier County, Arkansas",7765.0,05,133,2019
"Calhoun County, Arkansas",2208.0,05,013,2019
"Clark County, Arkansas",10790.0,05,019,2019
"Lawrence County, Arkansas",7113.0,05,075,2019
"Monroe County, Arkansas",3220.0,05,095,2019
"Conway County, Arkansas",9569.0,05,029,2019
"Newton County, Arkansas",2983.0,05,101,2019
"Arkansas County, Arkansas",8350.0,05,001,2019
"Lonoke County, Arkansas",33780.0,05,085,2019
"Carroll County, Arkansas",12470.0,05,015,2019
"St. Francis County, Arkansas",9102.0,05,123,2019
"Pulaski County, Arkansas",193195.0,05,119,2019
"Merced County, California",119120.0,06,047,2019
"Mariposa County, California",7672.0,06,043,2019
"Modoc County, California",3235.0,06,049,2019
"Contra Costa County, California",590758.0,06,013,2019
"Inyo County, California",8593.0,06,027,2019
"Stanislaus County, California",250975.0,06,099,2019
"Santa Barbara County, California",226585.0,06,083,2019
"Tehama County, California",26951.0,06,103,2019
"Mono County, California",8619.0,06,051,2019
"San Benito County, California",31510.0,06,069,2019
"Bryan County, Georgia",17402.0,13,029,2019
"Butts County, Georgia",9983.0,13,035,2019
"Camden County, Georgia",23135.0,13,039,2019
"Crawford County, Georgia",5145.0,13,079,2019
"Early County, Georgia",4060.0,13,099,2019
"Coffee County, Georgia",17592.0,13,069,2019
