"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2003","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541104","Food Products-Retail","541104","Food Products-Retail","","","","","","","","","","","","","","","","","","","","","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$728,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2002","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541104","Food Products-Retail","541104","Food Products-Retail","","","","","","","","","","","","","","","","","","","","","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00000","$500,000 - 1 Million","$728,000","Private","","000000000","000000000","","Verified","000000","$0","21","1500","No"
"2007","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2006","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2005","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541104","Food Products-Retail","541104","Food Products-Retail","","","","","","","","","","","","","","","","","","","","","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$728,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2004","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541104","Food Products-Retail","541104","Food Products-Retail","","","","","","","","","","","","","","","","","","","","","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","44511002","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$728,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2008","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2012","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541101","","541101","","","","","","","","","","","","","","","","","","","","","","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00003","$500,000 - 1 Million","$741,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2015","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","541101","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","1 to 4","00003","$500,000 - 1 Million","$794,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
"2014","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","551102","Automobile Dealers-New Cars","551102","Automobile Dealers-New Cars","","","541101","","541105","Grocers-Retail","","","","","","","","","","","","","","","44111001","New Car Dealers","44111001","New Car Dealers","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","20 to 49","00025","$10 - 20 Million","$18,069,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
