index,state,county,year,population,White,Black,American_Indian,Asian,Native_Hawaian,Other,White-Black,White-AI,White-Asian,Black-AI,All-other-two,Three,Four,Median_Income,Whole Foods Market Count,Wendy's Count,Trader Joe's Count,C-Town Count,ALDI Count,Burger King Count
329,Florida,Florida,2010,"18,845,537",,,,,,,,,,,,,,,,,,,,
330,Florida,Alachua County,2010,"247,614",173051.0,48755.0,470.0,12910.0,200.0,3192.0,1948.0,940.0,1087.0,217.0,913.0,553.0,11.0,40644.0,,,,,,
331,Florida,Baker County,2010,"27,066",22287.0,3515.0,30.0,93.0,8.0,127.0,173.0,230.0,12.0,15.0,58.0,0.0,0.0,47276.0,,,,,,
332,Florida,Bay County,2010,"169,206",137959.0,17354.0,923.0,3784.0,186.0,919.0,1558.0,1488.0,757.0,354.0,1222.0,278.0,16.0,47770.0,,,,,,
333,Florida,Bradford County,2010,"28,536",22011.0,5860.0,34.0,117.0,184.0,73.0,142.0,46.0,51.0,27.0,186.0,19.0,0.0,41126.0,,,,,,
334,Florida,Brevard County,2010,"543,965",453634.0,52758.0,1947.0,11035.0,319.0,8928.0,3351.0,2136.0,2640.0,166.0,2791.0,751.0,127.0,49523.0,,,,,,
335,Florida,Broward County,2010,"1,752,803",1111680.0,448777.0,3235.0,55794.0,574.0,70324.0,13549.0,3945.0,5622.0,1148.0,16955.0,2384.0,152.0,51694.0,8.0,53.0,4.0,,15.0,49.0
336,Florida,Calhoun County,2010,"14,647",11668.0,2157.0,174.0,19.0,0.0,92.0,54.0,125.0,37.0,10.0,36.0,0.0,0.0,31699.0,,,,,,
337,Florida,Charlotte County,2010,"159,875",143923.0,8641.0,426.0,1708.0,0.0,2069.0,1001.0,519.0,629.0,0.0,283.0,186.0,0.0,45037.0,,,,,,
338,Florida,Citrus County,2010,"141,173",131271.0,3942.0,606.0,1851.0,33.0,1026.0,529.0,778.0,223.0,24.0,358.0,35.0,10.0,37933.0,,,,,,
339,Florida,Clay County,2010,"191,451",155042.0,17586.0,749.0,5348.0,119.0,2230.0,697.0,1216.0,1178.0,158.0,1351.0,402.0,0.0,61185.0,,,,,,
340,Florida,Collier County,2010,"322,581",271973.0,21020.0,881.0,3441.0,71.0,15979.0,840.0,671.0,548.0,49.0,1394.0,64.0,0.0,58106.0,,,,,,
341,Florida,Columbia County,2010,"67,553",52160.0,11754.0,391.0,449.0,0.0,952.0,408.0,393.0,58.0,73.0,306.0,0.0,20.0,38214.0,,,,,,
342,Florida,DeSoto County,2010,"34,934",26570.0,4583.0,86.0,99.0,15.0,2495.0,53.0,93.0,0.0,19.0,502.0,17.0,25.0,35979.0,,,,,,
343,Florida,Dixie County,2010,"16,400",14997.0,989.0,6.0,11.0,0.0,26.0,34.0,44.0,33.0,0.0,50.0,6.0,0.0,32312.0,,,,,,
344,Florida,Duval County,2010,"865,628",530593.0,250792.0,2532.0,34173.0,697.0,15633.0,6403.0,3425.0,4552.0,1021.0,3883.0,1079.0,65.0,49463.0,,,,,,
