,Accounting Expenses,Address,City,State,County,Metro Area,Neighborhood,ZIP Code,ZIP Four,Year Established,Years In Database,Company Name,Computer Expenses,Contract Labor Expenses,Corporate Sales Volume Actual,Insurance Expenses,Last Updated On,Legal Expenses,Location Employee Size Actual,Location Employee Size Range,Location Sales Volume Actual,Location Sales Volume Range,Management/Administration Expenses,Office Supplies Expense,Own or Lease,Package Container Expense,Payroll and Benefits Expenses,Purchase Print Expenses,Rent Expenses,Square Footage,Telcom Expenses,Utilities Expenses
0,"$2,500 to $5,000",1104 Sunrise Hwy,Amityville,NY,Suffolk,"Nw Yrk, NY-NJ-PA",North Amityville,11701,2513.0,,30,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",21,20 to 49,"$1,180,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
1,"$2,500 to $5,000",3310 21st St,Astoria,NY,Queens,"Nw Yrk, NY-NJ-PA",Astoria,11106,4239.0,,7,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",25,20 to 49,"$1,186,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$50,000 to $100,000","2,500 - 4,999","$2,000 to $5,000","$25,000 to $50,000"
2,"$2,500 to $5,000",3310 Astoria Blvd,Astoria,NY,Queens,"Nw Yrk, NY-NJ-PA",Astoria,11103,4412.0,,24,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",25,20 to 49,"$1,186,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
3,"$2,500 to $5,000",335 E Main St,Bay Shore,NY,Suffolk,"Nw Yrk, NY-NJ-PA",Bay Shore,11706,8410.0,,37,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",25,20 to 49,"$1,405,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
4,"$2,500 to $5,000",22210 Northern Blvd,Bayside,NY,Queens,"Nw Yrk, NY-NJ-PA",Bayside,11361,3640.0,,37,Burger King,"$2,500 to $5,000","$1,000 to $10,000",$0,"$25,000 to $50,000",202011,"$1,000 to $2,500",35,20 to 49,"$1,660,000",$1-2.5 Million,"$10,000 to $25,000","$20,000 to $50,000",Own,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$50,000 to $100,000","2,500 - 4,999","$2,000 to $5,000","$25,000 to $50,000"
5,"$2,500 to $5,000",4201 Hempstead Tpke,Bethpage,NY,Nassau,"Nw Yrk, NY-NJ-PA",Plainedge,11714,5701.0,,37,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",24,20 to 49,"$1,357,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",Unknown,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
6,"$1,000 to $2,500",32 Montauk Hwy,Blue Point,NY,Suffolk,"Nw Yrk, NY-NJ-PA",Blue Point,11715,1139.0,,37,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",16,10 to 19,"$899,000","$500,000-1 Million","$5,000 to $10,000","$10,000 to $20,000",,"$5,000 to $10,000","$250,000 to $500,000","$500 to $1,000","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
7,"$2,500 to $5,000",5141 Sunrise Hwy,Bohemia,NY,Suffolk,"Nw Yrk, NY-NJ-PA",Bohemia,11716,4615.0,,20,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",27,20 to 49,"$1,517,000",$1-2.5 Million,"$10,000 to $25,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$50,000 to $100,000","2,500 - 4,999","$2,000 to $5,000","$5,000 to $10,000"
8,"$2,500 to $5,000",1519 Route 22,Brewster,NY,Putnam,"Nw Yrk, NY-NJ-PA",,10509,4009.0,,33,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202011,"$1,000 to $2,500",18,10 to 19,"$958,000","$500,000-1 Million","$5,000 to $10,000","$10,000 to $20,000",Own,"$5,000 to $10,000","$250,000 to $500,000","$500 to $1,000","Less than $10,000","2,500 - 4,999","$2,000 to $5,000","Less than $2,000"
9,"$2,500 to $5,000",Route 22,Brewster,NY,Putnam,"Nw Yrk, NY-NJ-PA",,10509,,,10,Burger King,"$1,000 to $2,500","$1,000 to $10,000",$0,"$10,000 to $25,000",202002,"$1,000 to $2,500",25,20 to 49,"$1,331,000",$1-2.5 Million,"$5,000 to $10,000","$20,000 to $50,000",,"$10,000 to $25,000","$250,000 to $500,000","$1,000 to $2,500","$10,000 to $25,000","2,500 - 4,999","$2,000 to $5,000","$2,000 to $5,000"
