,Address,City,State,ZIP Code,Company Name
0,265 W Oakland Park Blvd,Wilton Manors,FL,33311,Mc Donald's
1,326 Indian Trce,Weston,FL,33326,Mc Donald's
2,1020 Weston Rd,Weston,FL,33326,Mc Donald's
3,9835 Okeechobee Blvd,West Palm Beach,FL,33411,Mc Donald's
4,828 S Military Trl,West Palm Beach,FL,33415,Mc Donald's
5,6858 Okeechobee Blvd,West Palm Beach,FL,33411,Mc Donald's
6,650 Belvedere Rd,West Palm Beach,FL,33405,Mc Donald's
7,4275 45th St,West Palm Beach,FL,33407,Mc Donald's
8,3015 Forest Hill Blvd,West Palm Beach,FL,33406,Mc Donald's
9,2605 S Military Trl,West Palm Beach,FL,33415,Mc Donald's
10,2421 Okeechobee Blvd,West Palm Beach,FL,33409,Mc Donald's
11,1775 N Military Trl,West Palm Beach,FL,33409,Mc Donald's
12,1720 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,Mc Donald's
13,100 S State Road 7,West Palm Beach,FL,33414,Mc Donald's
14,2755 S State Road 7,Wellington,FL,33414,Mc Donald's
15,1470 Greenview Shores Blvd,Wellington,FL,33414,Mc Donald's
16,10300 Forest Hill Blvd,Wellington,FL,33414,Mc Donald's
17,8375 NW 88th Ave,Tamarac,FL,33321,Mc Donald's
18,9220 W Commercial Blvd,Sunrise,FL,33351,Mc Donald's
19,7600 NW 57th St,Sunrise,FL,33351,Mc Donald's
20,4301 N Pine Island Rd,Sunrise,FL,33351,Mc Donald's
21,2260 N University Dr,Sunrise,FL,33322,Mc Donald's
22,13655 W Sunrise Blvd,Sunrise,FL,33323,Mc Donald's
23,10901 W Oakland Park Blvd,Sunrise,FL,33351,Mc Donald's
24,10013 Sunset Strip,Sunrise,FL,33322,Mc Donald's
25,1108 State Route 34,Aberdeen,NJ,7747,Mc Donald's
26,1501 Main St,Asbury Park,NJ,7712,Mc Donald's
27,970 State Route 36,Atlantic Highlands,NJ,7716,Mc Donald's
28,1256 Saint Georges Ave # 1,Avenel,NJ,7001,Mc Donald's
29,580 N Main St,Barnegat,NJ,8005,Mc Donald's
30,157 W 63rd St,Bayonne,NJ,7002,Mc Donald's
31,537 Broadway,Bayonne,NJ,7002,Mc Donald's
32,417 Atlantic City Blvd,Bayville,NJ,8721,Mc Donald's
33,173 Franklin St,Belleville,NJ,7109,Mc Donald's
34,663 Washington Ave,Belleville,NJ,7109,Mc Donald's
35,326 S Washington Ave,Bergenfield,NJ,7621,Mc Donald's
36,1339 Broad St,Bloomfield,NJ,7003,Mc Donald's
37,425 Broad St,Bloomfield,NJ,7003,Mc Donald's
38,568 Myrtle Ave,Boonton,NJ,7005,Mc Donald's
39,944 US Highway 202 S,Branchburg,NJ,8876,Mc Donald's
40,106 Chambers Bridge Rd,Brick,NJ,8723,Mc Donald's
41,1872 Route 88,Brick,NJ,8724,Mc Donald's
42,191 Van Zile Rd,Brick,NJ,8724,Mc Donald's
43,680 Promenade Blvd,Bridgewater,NJ,8807,Mc Donald's
44,1479 State Rt 23,Butler,NJ,7405,Mc Donald's
45,835 Roosevelt Ave # 714,Carteret,NJ,7008,Mc Donald's
46,35 Morris County Mall,Cedar Knolls,NJ,7927,Mc Donald's
47,108 Central Ave,Clark,NJ,7066,Mc Donald's
