NAME,B19113A_001E,state,county,year
"Washington County, Mississippi",64269.0,28,151,2018
"Perry County, Mississippi",50891.0,28,111,2018
"Choctaw County, Mississippi",63638.0,28,019,2018
"Itawamba County, Mississippi",51273.0,28,057,2018
"Carroll County, Mississippi",62543.0,28,015,2018
"Grenada County, Mississippi",57727.0,28,043,2018
"Jefferson County, Mississippi",80673.0,28,063,2018
"Greene County, Mississippi",63895.0,28,041,2018
"Marshall County, Mississippi",61442.0,28,093,2018
"Quitman County, Mississippi",44107.0,28,119,2018
"Bolivar County, Mississippi",65925.0,28,011,2018
"Lamar County, Mississippi",81408.0,28,073,2018
"Lee County, Mississippi",70095.0,28,081,2018
"Pike County, Mississippi",57198.0,28,113,2018
"Tallahatchie County, Mississippi",60313.0,28,135,2018
"Smith County, Mississippi",65079.0,28,129,2018
"Stone County, Mississippi",60199.0,28,131,2018
"Warren County, Mississippi",74538.0,28,149,2018
"Clarke County, Mississippi",70417.0,28,023,2018
"Kemper County, Mississippi",51659.0,28,069,2018
"Montgomery County, Mississippi",61523.0,28,097,2018
"Oktibbeha County, Mississippi",90104.0,28,105,2018
"Pearl River County, Mississippi",64103.0,28,109,2018
"Leake County, Mississippi",53275.0,28,079,2018
"Noxubee County, Mississippi",65912.0,28,103,2018
"Neshoba County, Mississippi",53849.0,28,099,2018
"Rankin County, Mississippi",80351.0,28,121,2018
"Tate County, Mississippi",69328.0,28,137,2018
"Lawrence County, Mississippi",63433.0,28,077,2018
"Panola County, Mississippi",58969.0,28,107,2018
"Yalobusha County, Mississippi",55198.0,28,161,2018
"Chickasaw County, Mississippi",62624.0,28,017,2018
"Copiah County, Mississippi",70795.0,28,029,2018
"George County, Mississippi",61352.0,28,039,2018
"Hinds County, Mississippi",86863.0,28,049,2018
"Newton County, Mississippi",57688.0,28,101,2018
"Union County, Mississippi",54574.0,28,145,2018
"Sharkey County, Mississippi",62083.0,28,125,2018
"Tippah County, Mississippi",52446.0,28,139,2018
"Forrest County, Mississippi",66131.0,28,035,2018
"Hancock County, Mississippi",61158.0,28,045,2018
"Lafayette County, Mississippi",86516.0,28,071,2018
"Issaquena County, Mississippi",61538.0,28,055,2018
"Lowndes County, Mississippi",79434.0,28,087,2018
"Leflore County, Mississippi",72983.0,28,083,2018
"Wilkinson County, Mississippi",48438.0,28,157,2018
"Harrison County, Mississippi",61050.0,28,047,2018
"Jefferson Davis County, Mississippi",50389.0,28,065,2018
"Lincoln County, Mississippi",67072.0,28,085,2018
"Scott County, Mississippi",60230.0,28,123,2018
"Winston County, Mississippi",65635.0,28,159,2018
"Yazoo County, Mississippi",68291.0,28,163,2018
"Benton County, Mississippi",52340.0,28,009,2018
"Franklin County, Mississippi",53603.0,28,037,2018
"Jasper County, Mississippi",62776.0,28,061,2018
"Jones County, Mississippi",64466.0,28,067,2018
"Monroe County, Mississippi",59228.0,28,095,2018
"Sunflower County, Mississippi",67880.0,28,133,2018
"Webster County, Mississippi",58363.0,28,155,2018
"Adams County, Mississippi",57791.0,28,001,2018
"Clay County, Mississippi",73090.0,28,025,2018
"Covington County, Mississippi",55893.0,28,031,2018
"Humphreys County, Mississippi",73983.0,28,053,2018
"Saline County, Missouri",57824.0,29,195,2018
"Madison County, Missouri",54333.0,29,123,2018
"Wright County, Missouri",40852.0,29,229,2018
"Vernon County, Missouri",52480.0,29,217,2018
"Nodaway County, Missouri",60819.0,29,147,2018
"Chariton County, Missouri",60994.0,29,041,2018
"Grundy County, Missouri",62269.0,29,079,2018
"Morgan County, Missouri",48146.0,29,141,2018
"Wayne County, Missouri",41581.0,29,223,2018
"Bollinger County, Missouri",52924.0,29,017,2018
"Cape Girardeau County, Missouri",69189.0,29,031,2018
"Shelby County, Missouri",59070.0,29,205,2018
"Webster County, Missouri",55050.0,29,225,2018
"Atchison County, Missouri",64259.0,29,005,2018
"Bates County, Missouri",61583.0,29,013,2018
"Benton County, Missouri",47028.0,29,015,2018
"Carter County, Missouri",56934.0,29,035,2018
"Dade County, Missouri",45149.0,29,057,2018
"Linn County, Missouri",51424.0,29,115,2018
"Howell County, Missouri",44395.0,29,091,2018
"Johnson County, Missouri",68738.0,29,101,2018
"Laclede County, Missouri",54644.0,29,105,2018
"Maries County, Missouri",57234.0,29,125,2018
"Phelps County, Missouri",60541.0,29,161,2018
"Platte County, Missouri",97148.0,29,165,2018
"St. Francois County, Missouri",57638.0,29,187,2018
"Andrew County, Missouri",70886.0,29,003,2018
"Carroll County, Missouri",58629.0,29,033,2018
"Daviess County, Missouri",59591.0,29,061,2018
"Knox County, Missouri",54323.0,29,103,2018
"Marion County, Missouri",59415.0,29,127,2018
"Osage County, Missouri",70796.0,29,151,2018
"Ripley County, Missouri",41854.0,29,181,2018
"Warren County, Missouri",70318.0,29,219,2018
"Audrain County, Missouri",54345.0,29,007,2018
"Christian County, Missouri",67061.0,29,043,2018
"Greene County, Missouri",61409.0,29,077,2018
"Harrison County, Missouri",53941.0,29,081,2018
"St. Clair County, Missouri",51155.0,29,185,2018
"Adair County, Missouri",62881.0,29,001,2018
"Scotland County, Missouri",62031.0,29,199,2018
"Sullivan County, Missouri",51859.0,29,211,2018
"Clark County, Missouri",60417.0,29,045,2018
"Jefferson County, Missouri",72145.0,29,099,2018
"Lewis County, Missouri",58672.0,29,111,2018
"New Madrid County, Missouri",49589.0,29,143,2018
"Perry County, Missouri",66242.0,29,157,2018
"Ralls County, Missouri",65324.0,29,173,2018
"Ray County, Missouri",73425.0,29,177,2018
"St. Louis County, Missouri",100543.0,29,189,2018
