NAME,B19301B_001E,state,county,year
"Washington County, Mississippi",15031.0,28,151,2018
"Perry County, Mississippi",16900.0,28,111,2018
"Choctaw County, Mississippi",11369.0,28,019,2018
"Itawamba County, Mississippi",13690.0,28,057,2018
"Carroll County, Mississippi",13420.0,28,015,2018
"Grenada County, Mississippi",16700.0,28,043,2018
"Jefferson County, Mississippi",10943.0,28,063,2018
"Greene County, Mississippi",7515.0,28,041,2018
"Marshall County, Mississippi",17423.0,28,093,2018
"Quitman County, Mississippi",12695.0,28,119,2018
"Bolivar County, Mississippi",11849.0,28,011,2018
"Lamar County, Mississippi",18865.0,28,073,2018
"Lee County, Mississippi",16888.0,28,081,2018
"Pike County, Mississippi",12525.0,28,113,2018
"Tallahatchie County, Mississippi",11670.0,28,135,2018
"Smith County, Mississippi",13036.0,28,129,2018
"Stone County, Mississippi",12930.0,28,131,2018
"Warren County, Mississippi",15567.0,28,149,2018
"Clarke County, Mississippi",13160.0,28,023,2018
"Kemper County, Mississippi",12098.0,28,069,2018
"Montgomery County, Mississippi",14564.0,28,097,2018
"Oktibbeha County, Mississippi",13659.0,28,105,2018
"Pearl River County, Mississippi",12387.0,28,109,2018
"Leake County, Mississippi",13428.0,28,079,2018
"Noxubee County, Mississippi",14753.0,28,103,2018
"Neshoba County, Mississippi",14142.0,28,099,2018
"Rankin County, Mississippi",20480.0,28,121,2018
"Tate County, Mississippi",15368.0,28,137,2018
"Lawrence County, Mississippi",16595.0,28,077,2018
"Panola County, Mississippi",13668.0,28,107,2018
"Yalobusha County, Mississippi",16210.0,28,161,2018
"Chickasaw County, Mississippi",13574.0,28,017,2018
"Copiah County, Mississippi",12348.0,28,029,2018
"George County, Mississippi",10531.0,28,039,2018
"Hinds County, Mississippi",17981.0,28,049,2018
"Newton County, Mississippi",13703.0,28,101,2018
"Union County, Mississippi",15019.0,28,145,2018
"Sharkey County, Mississippi",12664.0,28,125,2018
"Tippah County, Mississippi",12904.0,28,139,2018
"Forrest County, Mississippi",15361.0,28,035,2018
"Hancock County, Mississippi",17498.0,28,045,2018
"Lafayette County, Mississippi",17483.0,28,071,2018
"Issaquena County, Mississippi",17385.0,28,055,2018
"Lowndes County, Mississippi",15693.0,28,087,2018
"Leflore County, Mississippi",10959.0,28,083,2018
"Wilkinson County, Mississippi",9830.0,28,157,2018
"Harrison County, Mississippi",17366.0,28,047,2018
"Jefferson Davis County, Mississippi",15174.0,28,065,2018
"Lincoln County, Mississippi",13101.0,28,085,2018
"Scott County, Mississippi",14012.0,28,123,2018
"Winston County, Mississippi",16281.0,28,159,2018
"Yazoo County, Mississippi",16998.0,28,163,2018
"Benton County, Mississippi",19154.0,28,009,2018
"Franklin County, Mississippi",16690.0,28,037,2018
"Jasper County, Mississippi",14399.0,28,061,2018
"Jones County, Mississippi",13121.0,28,067,2018
"Monroe County, Mississippi",16711.0,28,095,2018
"Sunflower County, Mississippi",11576.0,28,133,2018
"Webster County, Mississippi",13913.0,28,155,2018
"Adams County, Mississippi",13154.0,28,001,2018
"Clay County, Mississippi",14911.0,28,025,2018
"Covington County, Mississippi",12377.0,28,031,2018
"Humphreys County, Mississippi",11846.0,28,053,2018
"Saline County, Missouri",14987.0,29,195,2018
"Madison County, Missouri",,29,123,2018
"Wright County, Missouri",131513.0,29,229,2018
"Vernon County, Missouri",9022.0,29,217,2018
"Nodaway County, Missouri",16069.0,29,147,2018
"Chariton County, Missouri",13849.0,29,041,2018
"Grundy County, Missouri",3746.0,29,079,2018
"Morgan County, Missouri",14361.0,29,141,2018
"Wayne County, Missouri",34354.0,29,223,2018
"Bollinger County, Missouri",4559.0,29,017,2018
"Cape Girardeau County, Missouri",17054.0,29,031,2018
"Shelby County, Missouri",5108.0,29,205,2018
"Webster County, Missouri",15275.0,29,225,2018
"Atchison County, Missouri",20885.0,29,005,2018
"Bates County, Missouri",15696.0,29,013,2018
"Benton County, Missouri",16528.0,29,015,2018
"Carter County, Missouri",,29,035,2018
"Dade County, Missouri",,29,057,2018
"Linn County, Missouri",14831.0,29,115,2018
"Howell County, Missouri",6101.0,29,091,2018
"Johnson County, Missouri",18487.0,29,101,2018
"Laclede County, Missouri",19349.0,29,105,2018
"Maries County, Missouri",9448.0,29,125,2018
"Phelps County, Missouri",10773.0,29,161,2018
"Platte County, Missouri",30306.0,29,165,2018
"St. Francois County, Missouri",10759.0,29,187,2018
"Andrew County, Missouri",18250.0,29,003,2018
"Carroll County, Missouri",12275.0,29,033,2018
"Daviess County, Missouri",9989.0,29,061,2018
"Knox County, Missouri",15429.0,29,103,2018
"Marion County, Missouri",20836.0,29,127,2018
"Osage County, Missouri",6023.0,29,151,2018
"Ripley County, Missouri",,29,181,2018
"Warren County, Missouri",10142.0,29,219,2018
"Audrain County, Missouri",14444.0,29,007,2018
"Christian County, Missouri",10445.0,29,043,2018
"Greene County, Missouri",14387.0,29,077,2018
"Harrison County, Missouri",6089.0,29,081,2018
"St. Clair County, Missouri",7471.0,29,185,2018
"Adair County, Missouri",16010.0,29,001,2018
"Scotland County, Missouri",1030.0,29,199,2018
"Sullivan County, Missouri",29632.0,29,211,2018
"Clark County, Missouri",11404.0,29,045,2018
"Jefferson County, Missouri",19436.0,29,099,2018
"Lewis County, Missouri",20444.0,29,111,2018
"New Madrid County, Missouri",14187.0,29,143,2018
"Perry County, Missouri",7068.0,29,157,2018
