NAME,B19301I_001E,state,county,year
"Washington County, Mississippi",44672.0,28,151,2018
"Perry County, Mississippi",4721.0,28,111,2018
"Choctaw County, Mississippi",16485.0,28,019,2018
"Itawamba County, Mississippi",14814.0,28,057,2018
"Carroll County, Mississippi",,28,015,2018
"Grenada County, Mississippi",20711.0,28,043,2018
"Jefferson County, Mississippi",,28,063,2018
"Greene County, Mississippi",10773.0,28,041,2018
"Marshall County, Mississippi",17113.0,28,093,2018
"Quitman County, Mississippi",10263.0,28,119,2018
"Bolivar County, Mississippi",31752.0,28,011,2018
"Lamar County, Mississippi",13780.0,28,073,2018
"Lee County, Mississippi",12800.0,28,081,2018
"Pike County, Mississippi",12604.0,28,113,2018
"Tallahatchie County, Mississippi",,28,135,2018
"Smith County, Mississippi",8800.0,28,129,2018
"Stone County, Mississippi",13155.0,28,131,2018
"Warren County, Mississippi",19548.0,28,149,2018
"Clarke County, Mississippi",,28,023,2018
"Kemper County, Mississippi",,28,069,2018
"Montgomery County, Mississippi",15253.0,28,097,2018
"Oktibbeha County, Mississippi",18587.0,28,105,2018
"Pearl River County, Mississippi",16262.0,28,109,2018
"Leake County, Mississippi",6598.0,28,079,2018
"Noxubee County, Mississippi",4614.0,28,103,2018
"Neshoba County, Mississippi",9010.0,28,099,2018
"Rankin County, Mississippi",21486.0,28,121,2018
"Tate County, Mississippi",14526.0,28,137,2018
"Lawrence County, Mississippi",5142.0,28,077,2018
"Panola County, Mississippi",12716.0,28,107,2018
"Yalobusha County, Mississippi",23069.0,28,161,2018
"Chickasaw County, Mississippi",8511.0,28,017,2018
"Copiah County, Mississippi",12337.0,28,029,2018
"George County, Mississippi",7300.0,28,039,2018
"Hinds County, Mississippi",15283.0,28,049,2018
"Newton County, Mississippi",9601.0,28,101,2018
"Union County, Mississippi",14356.0,28,145,2018
"Sharkey County, Mississippi",,28,125,2018
"Tippah County, Mississippi",12107.0,28,139,2018
"Forrest County, Mississippi",15408.0,28,035,2018
"Hancock County, Mississippi",22043.0,28,045,2018
"Lafayette County, Mississippi",19968.0,28,071,2018
"Issaquena County, Mississippi",,28,055,2018
"Lowndes County, Mississippi",18611.0,28,087,2018
"Leflore County, Mississippi",17542.0,28,083,2018
"Wilkinson County, Mississippi",,28,157,2018
"Harrison County, Mississippi",18816.0,28,047,2018
"Jefferson Davis County, Mississippi",,28,065,2018
"Lincoln County, Mississippi",13085.0,28,085,2018
"Scott County, Mississippi",12118.0,28,123,2018
"Winston County, Mississippi",8168.0,28,159,2018
"Yazoo County, Mississippi",9138.0,28,163,2018
"Benton County, Mississippi",11770.0,28,009,2018
"Franklin County, Mississippi",,28,037,2018
"Jasper County, Mississippi",37408.0,28,061,2018
"Jones County, Mississippi",13014.0,28,067,2018
"Monroe County, Mississippi",16068.0,28,095,2018
"Sunflower County, Mississippi",7096.0,28,133,2018
"Webster County, Mississippi",9949.0,28,155,2018
"Adams County, Mississippi",3366.0,28,001,2018
"Clay County, Mississippi",,28,025,2018
"Covington County, Mississippi",52954.0,28,031,2018
"Humphreys County, Mississippi",17679.0,28,053,2018
"Saline County, Missouri",12564.0,29,195,2018
"Madison County, Missouri",21268.0,29,123,2018
"Wright County, Missouri",9770.0,29,229,2018
"Vernon County, Missouri",13913.0,29,217,2018
"Nodaway County, Missouri",6369.0,29,147,2018
"Chariton County, Missouri",25668.0,29,041,2018
"Grundy County, Missouri",16086.0,29,079,2018
"Morgan County, Missouri",9698.0,29,141,2018
"Wayne County, Missouri",15210.0,29,223,2018
"Bollinger County, Missouri",15096.0,29,017,2018
"Cape Girardeau County, Missouri",22333.0,29,031,2018
"Shelby County, Missouri",9973.0,29,205,2018
"Webster County, Missouri",12487.0,29,225,2018
"Atchison County, Missouri",38086.0,29,005,2018
"Bates County, Missouri",10659.0,29,013,2018
"Benton County, Missouri",8634.0,29,015,2018
"Carter County, Missouri",8751.0,29,035,2018
"Dade County, Missouri",15644.0,29,057,2018
"Linn County, Missouri",25037.0,29,115,2018
"Howell County, Missouri",15236.0,29,091,2018
"Johnson County, Missouri",20072.0,29,101,2018
"Laclede County, Missouri",16673.0,29,105,2018
"Maries County, Missouri",18698.0,29,125,2018
"Phelps County, Missouri",20010.0,29,161,2018
"Platte County, Missouri",26111.0,29,165,2018
"St. Francois County, Missouri",33847.0,29,187,2018
"Andrew County, Missouri",21833.0,29,003,2018
"Carroll County, Missouri",21379.0,29,033,2018
"Daviess County, Missouri",15878.0,29,061,2018
"Knox County, Missouri",6833.0,29,103,2018
"Marion County, Missouri",15143.0,29,127,2018
"Osage County, Missouri",35916.0,29,151,2018
"Ripley County, Missouri",4883.0,29,181,2018
"Warren County, Missouri",20175.0,29,219,2018
"Audrain County, Missouri",9680.0,29,007,2018
"Christian County, Missouri",16160.0,29,043,2018
"Greene County, Missouri",18148.0,29,077,2018
"Harrison County, Missouri",7252.0,29,081,2018
"St. Clair County, Missouri",16367.0,29,185,2018
"Adair County, Missouri",11466.0,29,001,2018
"Scotland County, Missouri",-666666666.0,29,199,2018
"Sullivan County, Missouri",18404.0,29,211,2018
"Clark County, Missouri",,29,045,2018
"Jefferson County, Missouri",20687.0,29,099,2018
"Lewis County, Missouri",15268.0,29,111,2018
"New Madrid County, Missouri",14256.0,29,143,2018
"Perry County, Missouri",18701.0,29,157,2018
"Ralls County, Missouri",16330.0,29,173,2018
"Ray County, Missouri",14394.0,29,177,2018
"St. Louis County, Missouri",27672.0,29,189,2018
"Stone County, Missouri",17950.0,29,209,2018
"Barry County, Missouri",12090.0,29,009,2018
"Boone County, Missouri",18415.0,29,019,2018
"Cedar County, Missouri",9284.0,29,039,2018
"Crawford County, Missouri",13002.0,29,055,2018
"Iron County, Missouri",21651.0,29,093,2018
"Livingston County, Missouri",2484.0,29,117,2018
"Moniteau County, Missouri",15401.0,29,135,2018
"Oregon County, Missouri",11087.0,29,149,2018
"Dunklin County, Missouri",7771.0,29,069,2018
"Pettis County, Missouri",13651.0,29,159,2018
"Ste. Genevieve County, Missouri",26599.0,29,186,2018
"Randolph County, Missouri",12454.0,29,175,2018
"Franklin County, Missouri",23465.0,29,071,2018
"Howard County, Missouri",13447.0,29,089,2018
"Jackson County, Missouri",16427.0,29,095,2018
"Miller County, Missouri",9077.0,29,131,2018
"Pulaski County, Missouri",19633.0,29,169,2018
"Putnam County, Missouri",,29,171,2018
"Taney County, Missouri",13791.0,29,213,2018
"Texas County, Missouri",10530.0,29,215,2018
"Buchanan County, Missouri",18868.0,29,021,2018
"Caldwell County, Missouri",22065.0,29,025,2018
"Callaway County, Missouri",20676.0,29,027,2018
"Cass County, Missouri",25999.0,29,037,2018
"Clinton County, Missouri",29583.0,29,049,2018
"Cooper County, Missouri",15734.0,29,053,2018
"Dallas County, Missouri",7545.0,29,059,2018
"Gentry County, Missouri",10591.0,29,075,2018
"Hickory County, Missouri",31517.0,29,085,2018
"Lincoln County, Missouri",15124.0,29,113,2018
"Mississippi County, Missouri",4207.0,29,133,2018
"Monroe County, Missouri",11751.0,29,137,2018
"Newton County, Missouri",14909.0,29,145,2018
"Ozark County, Missouri",5185.0,29,153,2018
"Pike County, Missouri",12074.0,29,163,2018
"St. Charles County, Missouri",24296.0,29,183,2018
"Custer County, Montana",22958.0,30,017,2018
"Hill County, Montana",8330.0,30,041,2018
"Powder River County, Montana",16400.0,30,075,2018
"Park County, Montana",15881.0,30,067,2018
"Roosevelt County, Montana",7315.0,30,085,2018
"Blaine County, Montana",11481.0,30,005,2018
"Liberty County, Montana",25598.0,30,051,2018
"Richland County, Montana",21289.0,30,083,2018
"Teton County, Montana",12993.0,30,099,2018
"Toole County, Montana",18393.0,30,101,2018
"Fallon County, Montana",12010.0,30,025,2018
"Daniels County, Montana",39654.0,30,019,2018
"Judith Basin County, Montana",10648.0,30,045,2018
"Silver Bow County, Montana",16896.0,30,093,2018
"Deer Lodge County, Montana",6736.0,30,023,2018
"Jefferson County, Montana",18869.0,30,043,2018
"McCone County, Montana",5066.0,30,055,2018
"Wheatland County, Montana",24991.0,30,107,2018
"Rosebud County, Montana",17659.0,30,087,2018
"Carter County, Montana",,30,011,2018
"Dawson County, Montana",20504.0,30,021,2018
"Broadwater County, Montana",19635.0,30,007,2018
"Lake County, Montana",14036.0,30,047,2018
"Pondera County, Montana",4183.0,30,073,2018
"Yellowstone County, Montana",17637.0,30,111,2018
"Ravalli County, Montana",17215.0,30,081,2018
"Valley County, Montana",19269.0,30,105,2018
"Fergus County, Montana",35937.0,30,027,2018
"Mineral County, Montana",19985.0,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",17342.0,30,089,2018
"Flathead County, Montana",19284.0,30,029,2018
"Wibaux County, Montana",20196.0,30,109,2018
"Meagher County, Montana",,30,059,2018
"Carbon County, Montana",17413.0,30,009,2018
"Phillips County, Montana",7183.0,30,071,2018
"Adams County, Nebraska",16488.0,31,001,2018
"Lancaster County, Nebraska",17269.0,31,109,2018
"Boone County, Nebraska",14583.0,31,011,2018
"Rock County, Nebraska",,31,149,2018
"Banner County, Nebraska",10169.0,31,007,2018
"Sherman County, Nebraska",23065.0,31,163,2018
"Richardson County, Nebraska",24706.0,31,147,2018
