NAME,B23025_002E,state,county,year
"Washington County, Mississippi",20200.0,28,151,2018
"Perry County, Mississippi",4951.0,28,111,2018
"Choctaw County, Mississippi",3402.0,28,019,2018
"Itawamba County, Mississippi",9923.0,28,057,2018
"Carroll County, Mississippi",3843.0,28,015,2018
"Grenada County, Mississippi",8958.0,28,043,2018
"Jefferson County, Mississippi",2017.0,28,063,2018
"Greene County, Mississippi",4297.0,28,041,2018
"Marshall County, Mississippi",15270.0,28,093,2018
"Quitman County, Mississippi",3074.0,28,119,2018
"Bolivar County, Mississippi",12082.0,28,011,2018
"Lamar County, Mississippi",31033.0,28,073,2018
"Lee County, Mississippi",40904.0,28,081,2018
"Pike County, Mississippi",15033.0,28,113,2018
"Tallahatchie County, Mississippi",4467.0,28,135,2018
"Smith County, Mississippi",6795.0,28,129,2018
"Stone County, Mississippi",8314.0,28,131,2018
"Warren County, Mississippi",20943.0,28,149,2018
"Clarke County, Mississippi",6901.0,28,023,2018
"Kemper County, Mississippi",3759.0,28,069,2018
"Montgomery County, Mississippi",4334.0,28,097,2018
"Oktibbeha County, Mississippi",23145.0,28,105,2018
"Pearl River County, Mississippi",23657.0,28,109,2018
"Leake County, Mississippi",9574.0,28,079,2018
"Noxubee County, Mississippi",4500.0,28,103,2018
"Neshoba County, Mississippi",13203.0,28,099,2018
"Rankin County, Mississippi",76882.0,28,121,2018
"Tate County, Mississippi",12999.0,28,137,2018
"Lawrence County, Mississippi",5187.0,28,077,2018
"Panola County, Mississippi",13714.0,28,107,2018
"Yalobusha County, Mississippi",5695.0,28,161,2018
"Chickasaw County, Mississippi",7140.0,28,017,2018
"Copiah County, Mississippi",11773.0,28,029,2018
"George County, Mississippi",9147.0,28,039,2018
"Hinds County, Mississippi",116848.0,28,049,2018
"Newton County, Mississippi",8888.0,28,101,2018
"Union County, Mississippi",12941.0,28,145,2018
"Sharkey County, Mississippi",1784.0,28,125,2018
"Tippah County, Mississippi",9598.0,28,139,2018
"Forrest County, Mississippi",36036.0,28,035,2018
"Hancock County, Mississippi",20868.0,28,045,2018
"Lafayette County, Mississippi",26241.0,28,071,2018
"Issaquena County, Mississippi",415.0,28,055,2018
"Lowndes County, Mississippi",27526.0,28,087,2018
"Leflore County, Mississippi",10366.0,28,083,2018
"Wilkinson County, Mississippi",2771.0,28,157,2018
"Harrison County, Mississippi",99210.0,28,047,2018
"Jefferson Davis County, Mississippi",4659.0,28,065,2018
"Lincoln County, Mississippi",13891.0,28,085,2018
"Scott County, Mississippi",12358.0,28,123,2018
"Winston County, Mississippi",7825.0,28,159,2018
"Yazoo County, Mississippi",9535.0,28,163,2018
"Benton County, Mississippi",3190.0,28,009,2018
"Franklin County, Mississippi",2913.0,28,037,2018
"Jasper County, Mississippi",6784.0,28,061,2018
"Jones County, Mississippi",29767.0,28,067,2018
"Monroe County, Mississippi",15355.0,28,095,2018
"Sunflower County, Mississippi",9737.0,28,133,2018
"Webster County, Mississippi",3940.0,28,155,2018
"Adams County, Mississippi",11599.0,28,001,2018
"Clay County, Mississippi",8540.0,28,025,2018
"Covington County, Mississippi",8096.0,28,031,2018
"Humphreys County, Mississippi",3429.0,28,053,2018
"Saline County, Missouri",10955.0,29,195,2018
"Madison County, Missouri",5274.0,29,123,2018
"Wright County, Missouri",7280.0,29,229,2018
"Vernon County, Missouri",9920.0,29,217,2018
"Nodaway County, Missouri",11515.0,29,147,2018
"Chariton County, Missouri",3264.0,29,041,2018
"Grundy County, Missouri",4758.0,29,079,2018
"Morgan County, Missouri",7680.0,29,141,2018
"Wayne County, Missouri",4656.0,29,223,2018
"Bollinger County, Missouri",5295.0,29,017,2018
"Cape Girardeau County, Missouri",39806.0,29,031,2018
"Shelby County, Missouri",3052.0,29,205,2018
"Webster County, Missouri",16344.0,29,225,2018
"Atchison County, Missouri",2739.0,29,005,2018
"Bates County, Missouri",7965.0,29,013,2018
"Benton County, Missouri",7162.0,29,015,2018
"Carter County, Missouri",2641.0,29,035,2018
"Dade County, Missouri",3397.0,29,057,2018
"Linn County, Missouri",5653.0,29,115,2018
"Howell County, Missouri",17410.0,29,091,2018
"Johnson County, Missouri",28639.0,29,101,2018
"Laclede County, Missouri",16191.0,29,105,2018
"Maries County, Missouri",4013.0,29,125,2018
"Phelps County, Missouri",20328.0,29,161,2018
"Platte County, Missouri",55074.0,29,165,2018
"St. Francois County, Missouri",28621.0,29,187,2018
"Andrew County, Missouri",8780.0,29,003,2018
"Carroll County, Missouri",4045.0,29,033,2018
"Daviess County, Missouri",3625.0,29,061,2018
"Knox County, Missouri",1688.0,29,103,2018
"Marion County, Missouri",13802.0,29,127,2018
"Osage County, Missouri",7165.0,29,151,2018
"Ripley County, Missouri",5507.0,29,181,2018
"Warren County, Missouri",15871.0,29,219,2018
"Audrain County, Missouri",11578.0,29,007,2018
"Christian County, Missouri",41810.0,29,043,2018
"Greene County, Missouri",144675.0,29,077,2018
"Harrison County, Missouri",3948.0,29,081,2018
"St. Clair County, Missouri",3746.0,29,185,2018
"Adair County, Missouri",11611.0,29,001,2018
"Scotland County, Missouri",2202.0,29,199,2018
"Sullivan County, Missouri",2743.0,29,211,2018
"Clark County, Missouri",3408.0,29,045,2018
"Jefferson County, Missouri",117120.0,29,099,2018
"Lewis County, Missouri",4760.0,29,111,2018
"New Madrid County, Missouri",7251.0,29,143,2018
"Perry County, Missouri",9586.0,29,157,2018
"Ralls County, Missouri",5245.0,29,173,2018
"Ray County, Missouri",11314.0,29,177,2018
"St. Louis County, Missouri",524849.0,29,189,2018
"Stone County, Missouri",12958.0,29,209,2018
"Barry County, Missouri",15311.0,29,009,2018
