NAME,B01002E_001E,state,county,year,B01002D_001E,B01002H_001E,B01002I_001E,B01002B_001E,B01002C_001E,B01002F_001E,B01002G_001E,B01002_001E,B01002A_001E
"Washington County, Mississippi",0.0,28,151,2018,63.2,48.0,25.7,33.1,53.2,30.8,18.3,36.9,47.7
"Perry County, Mississippi",0.0,28,111,2018,0.0,43.5,19.3,35.7,0.0,0.0,23.8,40.9,43.1
"Choctaw County, Mississippi",0.0,28,19,2018,0.0,46.4,39.0,36.0,68.5,0.0,18.2,44.0,46.4
"Itawamba County, Mississippi",0.0,28,57,2018,26.8,41.0,33.3,22.6,58.1,38.6,16.1,40.0,40.9
"Carroll County, Mississippi",0.0,28,15,2018,0.0,48.9,73.0,41.8,0.0,0.0,52.3,47.0,48.8
"Grenada County, Mississippi",0.0,28,43,2018,0.0,44.0,35.4,34.6,18.8,0.0,14.9,39.8,43.8
"Jefferson County, Mississippi",0.0,28,63,2018,52.5,53.9,27.0,35.7,41.4,0.0,0.0,39.3,53.9
"Greene County, Mississippi",0.0,28,41,2018,0.0,40.1,32.8,37.3,54.0,0.0,18.4,39.1,39.9
"Marshall County, Mississippi",0.0,28,93,2018,0.0,47.1,20.4,35.5,36.6,20.0,39.7,40.2,46.4
"Quitman County, Mississippi",0.0,28,119,2018,0.0,49.7,16.9,35.7,0.0,33.3,16.2,38.4,49.5
"Bolivar County, Mississippi",0.0,28,11,2018,44.3,40.5,37.8,32.8,49.7,37.1,17.4,35.2,40.7
"Lamar County, Mississippi",0.0,28,73,2018,32.4,38.8,22.0,28.7,41.5,20.8,22.1,35.4,38.1
"Lee County, Mississippi",0.0,28,81,2018,38.2,42.1,23.3,30.5,42.5,34.1,11.2,37.2,41.3
"Pike County, Mississippi",0.0,28,113,2018,44.5,44.1,22.8,33.2,13.0,55.1,22.3,37.3,43.7
"Tallahatchie County, Mississippi",0.0,28,135,2018,27.9,44.5,30.1,31.2,0.0,29.8,34.5,34.6,44.4
"Smith County, Mississippi",0.0,28,129,2018,66.1,44.0,14.2,33.7,0.0,0.0,6.0,40.1,42.8
"Stone County, Mississippi",0.0,28,131,2018,0.0,39.7,16.9,35.1,23.9,0.0,12.5,37.5,39.4
"Warren County, Mississippi",0.0,28,149,2018,61.5,45.6,33.1,33.9,33.5,42.1,12.1,38.8,45.6
"Clarke County, Mississippi",0.0,28,23,2018,0.0,45.7,17.8,37.2,0.0,25.5,9.6,42.1,45.7
"Kemper County, Mississippi",0.0,28,69,2018,0.0,52.0,18.2,37.0,34.9,0.0,0.0,41.8,50.6
"Montgomery County, Mississippi",0.0,28,97,2018,0.0,47.3,35.2,36.6,0.0,55.1,20.7,42.1,46.8
"Oktibbeha County, Mississippi",0.0,28,105,2018,27.1,25.2,24.1,26.6,22.3,24.8,21.5,25.8,25.0
"Pearl River County, Mississippi",0.0,28,109,2018,71.2,42.6,31.4,30.9,0.0,39.9,31.0,40.9,42.4
"Leake County, Mississippi",0.0,28,79,2018,10.2,45.0,18.4,32.4,29.8,0.0,17.6,36.6,42.1
"Noxubee County, Mississippi",0.0,28,103,2018,0.0,47.8,8.8,35.0,0.0,2.3,12.0,36.4,46.9
"Neshoba County, Mississippi",0.0,28,99,2018,43.8,42.7,30.6,30.8,27.3,0.0,18.3,36.8,42.4
"Rankin County, Mississippi",0.0,28,121,2018,38.0,39.4,27.9,33.8,40.5,33.1,19.6,37.4,39.2
"Tate County, Mississippi",0.0,28,137,2018,46.0,42.4,32.1,33.4,74.2,37.8,11.2,37.6,41.7
"Lawrence County, Mississippi",0.0,28,77,2018,0.0,42.7,19.4,36.3,36.0,15.6,18.4,40.3,42.8
"Panola County, Mississippi",0.0,28,107,2018,0.0,45.3,29.6,31.9,0.0,0.0,3.5,37.8,44.4
"Yalobusha County, Mississippi",0.0,28,161,2018,0.0,47.5,37.9,36.2,0.0,0.0,29.3,42.6,47.6
"Chickasaw County, Mississippi",0.0,28,17,2018,0.0,44.5,18.7,34.3,59.3,18.5,25.0,36.8,42.8
"Copiah County, Mississippi",0.0,28,29,2018,31.3,47.4,21.2,33.1,0.0,36.2,21.6,38.2,46.4
"George County, Mississippi",0.0,28,39,2018,47.1,37.5,22.8,29.5,46.3,25.4,9.5,36.3,36.9
"Hinds County, Mississippi",31.4,28,49,2018,30.7,46.5,24.1,31.6,35.8,22.7,29.0,34.4,45.5
"Newton County, Mississippi",0.0,28,101,2018,23.0,41.7,26.2,32.1,21.5,22.6,12.8,36.6,41.1
"Union County, Mississippi",18.4,28,145,2018,11.7,40.3,26.4,38.8,17.5,27.0,10.9,38.2,40.0
"Sharkey County, Mississippi",0.0,28,125,2018,36.5,55.4,0.0,37.7,0.0,0.0,0.0,42.1,55.4
"Tippah County, Mississippi",0.0,28,139,2018,45.7,41.8,19.1,35.6,56.9,19.9,18.5,39.4,40.8
"Forrest County, Mississippi",0.0,28,35,2018,29.8,37.3,25.0,28.2,24.9,37.7,20.2,32.4,36.9
"Hancock County, Mississippi",0.0,28,45,2018,54.8,44.9,33.2,38.3,35.7,34.7,22.5,44.0,44.7
"Lafayette County, Mississippi",0.0,28,71,2018,27.6,30.5,24.5,29.5,8.6,30.0,20.6,29.9,30.2
"Issaquena County, Mississippi",0.0,28,55,2018,0.0,44.5,20.5,36.9,0.0,0.0,0.0,40.1,44.4
