NAME,B17015_038E,state,county,year
"Washington County, Mississippi",497.0,28,151,2018
"Perry County, Mississippi",124.0,28,111,2018
"Choctaw County, Mississippi",46.0,28,19,2018
"Itawamba County, Mississippi",212.0,28,57,2018
"Carroll County, Mississippi",41.0,28,15,2018
"Grenada County, Mississippi",162.0,28,43,2018
"Jefferson County, Mississippi",58.0,28,63,2018
"Greene County, Mississippi",82.0,28,41,2018
"Marshall County, Mississippi",572.0,28,93,2018
"Quitman County, Mississippi",29.0,28,119,2018
"Bolivar County, Mississippi",392.0,28,11,2018
"Lamar County, Mississippi",568.0,28,73,2018
"Lee County, Mississippi",1213.0,28,81,2018
"Pike County, Mississippi",338.0,28,113,2018
"Tallahatchie County, Mississippi",154.0,28,135,2018
"Smith County, Mississippi",105.0,28,129,2018
"Stone County, Mississippi",128.0,28,131,2018
"Warren County, Mississippi",344.0,28,149,2018
"Clarke County, Mississippi",65.0,28,23,2018
"Kemper County, Mississippi",77.0,28,69,2018
"Montgomery County, Mississippi",202.0,28,97,2018
"Oktibbeha County, Mississippi",283.0,28,105,2018
"Pearl River County, Mississippi",399.0,28,109,2018
"Leake County, Mississippi",190.0,28,79,2018
"Noxubee County, Mississippi",26.0,28,103,2018
"Neshoba County, Mississippi",446.0,28,99,2018
"Rankin County, Mississippi",1723.0,28,121,2018
"Tate County, Mississippi",317.0,28,137,2018
"Lawrence County, Mississippi",125.0,28,77,2018
"Panola County, Mississippi",235.0,28,107,2018
"Yalobusha County, Mississippi",165.0,28,161,2018
"Chickasaw County, Mississippi",252.0,28,17,2018
"Copiah County, Mississippi",262.0,28,29,2018
"George County, Mississippi",156.0,28,39,2018
"Hinds County, Mississippi",2662.0,28,49,2018
"Newton County, Mississippi",171.0,28,101,2018
"Union County, Mississippi",394.0,28,145,2018
"Sharkey County, Mississippi",3.0,28,125,2018
"Tippah County, Mississippi",267.0,28,139,2018
"Forrest County, Mississippi",990.0,28,35,2018
"Hancock County, Mississippi",729.0,28,45,2018
"Lafayette County, Mississippi",260.0,28,71,2018
"Issaquena County, Mississippi",6.0,28,55,2018
"Lowndes County, Mississippi",501.0,28,87,2018
"Leflore County, Mississippi",198.0,28,83,2018
"Wilkinson County, Mississippi",9.0,28,157,2018
"Harrison County, Mississippi",2592.0,28,47,2018
"Jefferson Davis County, Mississippi",94.0,28,65,2018
"Lincoln County, Mississippi",463.0,28,85,2018
"Scott County, Mississippi",281.0,28,123,2018
"Winston County, Mississippi",168.0,28,159,2018
"Yazoo County, Mississippi",189.0,28,163,2018
"Benton County, Mississippi",47.0,28,9,2018
"Franklin County, Mississippi",50.0,28,37,2018
"Jasper County, Mississippi",125.0,28,61,2018
"Jones County, Mississippi",902.0,28,67,2018
"Monroe County, Mississippi",315.0,28,95,2018
"Sunflower County, Mississippi",263.0,28,133,2018
"Webster County, Mississippi",67.0,28,155,2018
"Adams County, Mississippi",155.0,28,1,2018
"Clay County, Mississippi",255.0,28,25,2018
"Covington County, Mississippi",341.0,28,31,2018
"Humphreys County, Mississippi",46.0,28,53,2018
"Saline County, Missouri",341.0,29,195,2018
"Madison County, Missouri",65.0,29,123,2018
"Wright County, Missouri",208.0,29,229,2018
"Vernon County, Missouri",136.0,29,217,2018
"Nodaway County, Missouri",176.0,29,147,2018
"Chariton County, Missouri",58.0,29,41,2018
"Grundy County, Missouri",68.0,29,79,2018
"Morgan County, Missouri",105.0,29,141,2018
"Wayne County, Missouri",123.0,29,223,2018
"Bollinger County, Missouri",150.0,29,17,2018
"Cape Girardeau County, Missouri",884.0,29,31,2018
"Shelby County, Missouri",52.0,29,205,2018
"Webster County, Missouri",201.0,29,225,2018
"Atchison County, Missouri",66.0,29,5,2018
"Bates County, Missouri",353.0,29,13,2018
"Benton County, Missouri",152.0,29,15,2018
"Carter County, Missouri",59.0,29,35,2018
"Dade County, Missouri",126.0,29,57,2018
"Linn County, Missouri",165.0,29,115,2018
"Howell County, Missouri",397.0,29,91,2018
"Johnson County, Missouri",522.0,29,101,2018
