NAME,B19113A_001E,state,county,year,B19113B_001E,B19113C_001E,B19113D_001E,B19113E_001E,B19113F_001E,B19113G_001E,B19113H_001E
"Washington County, Mississippi",64269.0,28,151,2018,28293.0,,117750.0,,36143.0,,64383.0
"Perry County, Mississippi",50891.0,28,111,2018,31406.0,,,,,40568.0,50881.0
"Choctaw County, Mississippi",63638.0,28,19,2018,28409.0,,,,,,63728.0
"Itawamba County, Mississippi",51273.0,28,57,2018,56458.0,,,,,,51379.0
"Carroll County, Mississippi",62543.0,28,15,2018,39861.0,,,,,,62543.0
"Grenada County, Mississippi",57727.0,28,43,2018,35441.0,,,,,,57727.0
"Jefferson County, Mississippi",80673.0,28,63,2018,20401.0,,,,,,80673.0
"Greene County, Mississippi",63895.0,28,41,2018,46875.0,,,,,,64186.0
"Marshall County, Mississippi",61442.0,28,93,2018,40470.0,,,,54977.0,88026.0,61813.0
"Quitman County, Mississippi",44107.0,28,119,2018,32750.0,,,,,,44107.0
"Bolivar County, Mississippi",65925.0,28,11,2018,28206.0,,92337.0,,,,64076.0
"Lamar County, Mississippi",81408.0,28,73,2018,48033.0,,66364.0,,,51300.0,82031.0
"Lee County, Mississippi",70095.0,28,81,2018,39133.0,,82750.0,,,,69865.0
"Pike County, Mississippi",57198.0,28,113,2018,26271.0,,78438.0,,,73448.0,57124.0
"Tallahatchie County, Mississippi",60313.0,28,135,2018,26804.0,,,,,,60313.0
"Smith County, Mississippi",65079.0,28,129,2018,36523.0,,,,,,65338.0
"Stone County, Mississippi",60199.0,28,131,2018,35099.0,,,,,,59450.0
"Warren County, Mississippi",74538.0,28,149,2018,32343.0,123333.0,,,,,75016.0
"Clarke County, Mississippi",70417.0,28,23,2018,31310.0,,,,,,70197.0
"Kemper County, Mississippi",51659.0,28,69,2018,24088.0,21667.0,,,,,51955.0
"Montgomery County, Mississippi",61523.0,28,97,2018,22618.0,,,,,32961.0,61523.0
"Oktibbeha County, Mississippi",90104.0,28,105,2018,39471.0,,37609.0,,,45590.0,87355.0
"Pearl River County, Mississippi",64103.0,28,109,2018,27120.0,,,,,36125.0,64149.0
