NAME,B19202B_001E,state,county,year,B19202C_001E,B19202D_001E,B19202F_001E,B19202G_001E,B19202H_001E,B19202I_001E
"Washington County, Mississippi",16407.0,28,151,2018,2499.0,31518.0,,,31769.0,31202.0
"Perry County, Mississippi",14489.0,28,111,2018,,,,,17407.0,
"Choctaw County, Mississippi",13932.0,28,19,2018,,,,,25952.0,
"Itawamba County, Mississippi",11512.0,28,57,2018,,,,,21555.0,
"Carroll County, Mississippi",12222.0,28,15,2018,,,,,21842.0,
"Grenada County, Mississippi",17239.0,28,43,2018,,,,,32236.0,
"Jefferson County, Mississippi",12997.0,28,63,2018,,,,,29211.0,
"Greene County, Mississippi",,28,41,2018,,,,,25089.0,
"Marshall County, Mississippi",21453.0,28,93,2018,,,,,26667.0,
"Quitman County, Mississippi",12838.0,28,119,2018,,,,,26689.0,
"Bolivar County, Mississippi",13780.0,28,11,2018,,,,,27426.0,250001.0
"Lamar County, Mississippi",26956.0,28,73,2018,,,,,27934.0,
"Lee County, Mississippi",19051.0,28,81,2018,,,2499.0,43750.0,27376.0,55670.0
"Pike County, Mississippi",15198.0,28,113,2018,,,,,21382.0,
"Tallahatchie County, Mississippi",12188.0,28,135,2018,,,,,27995.0,
"Smith County, Mississippi",21798.0,28,129,2018,,,,,17043.0,
"Stone County, Mississippi",15128.0,28,131,2018,,,,,30875.0,
"Warren County, Mississippi",19200.0,28,149,2018,,28150.0,,,39861.0,
"Clarke County, Mississippi",11896.0,28,23,2018,,,,,24895.0,
"Kemper County, Mississippi",14803.0,28,69,2018,,,,,22962.0,
"Montgomery County, Mississippi",20495.0,28,97,2018,,,,2499.0,20750.0,
"Oktibbeha County, Mississippi",16713.0,28,105,2018,,,,21587.0,22641.0,
"Pearl River County, Mississippi",17268.0,28,109,2018,,,,,22584.0,50083.0
"Leake County, Mississippi",16537.0,28,79,2018,,,,,18846.0,
"Noxubee County, Mississippi",16844.0,28,103,2018,,,,,24813.0,
"Neshoba County, Mississippi",15432.0,28,99,2018,25891.0,,,15825.0,18731.0,
"Rankin County, Mississippi",25471.0,28,121,2018,,73277.0,14891.0,40478.0,38295.0,63036.0
"Tate County, Mississippi",17418.0,28,137,2018,,,,,37664.0,
"Lawrence County, Mississippi",30121.0,28,77,2018,,,,,18893.0,
"Panola County, Mississippi",17514.0,28,107,2018,,,,,26948.0,21489.0
"Yalobusha County, Mississippi",11929.0,28,161,2018,,,,,27700.0,
"Chickasaw County, Mississippi",13250.0,28,17,2018,,,,,22667.0,
"Copiah County, Mississippi",16656.0,28,29,2018,,,,,27134.0,
"George County, Mississippi",,28,39,2018,,,,,22030.0,
"Hinds County, Mississippi",23887.0,28,49,2018,25511.0,31771.0,,23250.0,37342.0,29500.0
"Newton County, Mississippi",18181.0,28,101,2018,,,,,22246.0,
"Union County, Mississippi",16173.0,28,145,2018,,,,,23877.0,2499.0
"Sharkey County, Mississippi",14541.0,28,125,2018,,,,,41786.0,
"Tippah County, Mississippi",17109.0,28,139,2018,,,,,18203.0,
"Forrest County, Mississippi",20273.0,28,35,2018,2499.0,2499.0,,,26872.0,16938.0
"Hancock County, Mississippi",13923.0,28,45,2018,,30505.0,,21204.0,31345.0,43100.0
"Lafayette County, Mississippi",21183.0,28,71,2018,,,,40781.0,28621.0,
"Issaquena County, Mississippi",17344.0,28,55,2018,,,,,,
"Lowndes County, Mississippi",15972.0,28,87,2018,,,,,35642.0,
"Leflore County, Mississippi",11933.0,28,83,2018,,,,,33929.0,
"Wilkinson County, Mississippi",18368.0,28,157,2018,,,,,28750.0,
"Harrison County, Mississippi",20156.0,28,47,2018,,36875.0,46385.0,49954.0,32707.0,38517.0
"Jefferson Davis County, Mississippi",15435.0,28,65,2018,,,,,20772.0,
"Lincoln County, Mississippi",14364.0,28,85,2018,,,,,25365.0,
"Scott County, Mississippi",15471.0,28,123,2018,,,,,20069.0,23259.0
"Winston County, Mississippi",16295.0,28,159,2018,,,,,23846.0,17969.0
"Yazoo County, Mississippi",15771.0,28,163,2018,,,,,23736.0,
"Benton County, Mississippi",25000.0,28,9,2018,,,,6316.0,21818.0,
"Franklin County, Mississippi",14411.0,28,37,2018,,,,,31842.0,
"Jasper County, Mississippi",12968.0,28,61,2018,,,,20833.0,29786.0,
"Jones County, Mississippi",17219.0,28,67,2018,,,,,26525.0,39479.0
"Monroe County, Mississippi",12083.0,28,95,2018,,,,,22718.0,24474.0
"Sunflower County, Mississippi",16274.0,28,133,2018,,,,13857.0,35143.0,
"Webster County, Mississippi",14732.0,28,155,2018,,,,2499.0,26445.0,
"Adams County, Mississippi",16720.0,28,1,2018,,,,14750.0,25888.0,9750.0
"Clay County, Mississippi",19167.0,28,25,2018,,,,,24901.0,
"Covington County, Mississippi",18889.0,28,31,2018,,,,,26399.0,
"Humphreys County, Mississippi",15274.0,28,53,2018,,,,,27440.0,
"Saline County, Missouri",16950.0,29,195,2018,,50139.0,,40500.0,25791.0,31250.0
"Madison County, Missouri",,29,123,2018,,,,10761.0,21342.0,23434.0
"Wright County, Missouri",,29,229,2018,,,,,19414.0,
"Vernon County, Missouri",,29,217,2018,,53458.0,,33430.0,25732.0,
"Nodaway County, Missouri",2499.0,29,147,2018,,,,43846.0,26865.0,10833.0
"Chariton County, Missouri",22750.0,29,41,2018,,,,,21563.0,
"Grundy County, Missouri",,29,79,2018,,,,,22361.0,
"Morgan County, Missouri",,29,141,2018,,,,,23988.0,12708.0
"Wayne County, Missouri",,29,223,2018,,,,,16350.0,
"Bollinger County, Missouri",,29,17,2018,,,,,21795.0,
"Cape Girardeau County, Missouri",19263.0,29,31,2018,,2499.0,,18594.0,29612.0,38438.0
"Shelby County, Missouri",,29,205,2018,,,,,20335.0,
