NAME,B19301A_001E,state,county,year,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,B19301H_001E,B19301I_001E,B19301_001E
"Washington County, Mississippi",33274.0,28,151,2018,15031.0,34279.0,34193.0,,16376.0,17975.0,31644.0,44672.0,19884.0
"Perry County, Mississippi",22803.0,28,111,2018,16900.0,,,,,16319.0,23155.0,4721.0,21611.0
"Choctaw County, Mississippi",24903.0,28,19,2018,11369.0,34804.0,,,,9486.0,24886.0,16485.0,20589.0
"Itawamba County, Mississippi",21406.0,28,57,2018,13690.0,6755.0,,,17314.0,6221.0,21477.0,14814.0,20629.0
"Carroll County, Mississippi",27585.0,28,15,2018,13420.0,,,,,14429.0,27636.0,,22567.0
"Grenada County, Mississippi",25806.0,28,43,2018,16700.0,8310.0,,,,17823.0,25857.0,20711.0,21668.0
"Jefferson County, Mississippi",27214.0,28,63,2018,10943.0,,5127.0,,,,27676.0,,13374.0
"Greene County, Mississippi",20991.0,28,41,2018,7515.0,18168.0,,,,5207.0,21201.0,10773.0,17453.0
"Marshall County, Mississippi",25307.0,28,93,2018,17423.0,21380.0,,,17557.0,21953.0,25598.0,17113.0,21352.0
"Quitman County, Mississippi",22323.0,28,119,2018,12695.0,,,,,,22550.0,10263.0,15353.0
"Bolivar County, Mississippi",29241.0,28,11,2018,11849.0,9854.0,29322.0,,12441.0,9178.0,28347.0,31752.0,17713.0
"Lamar County, Mississippi",31815.0,28,73,2018,18865.0,19074.0,28033.0,,15072.0,23757.0,32311.0,13780.0,28934.0
"Lee County, Mississippi",29747.0,28,81,2018,16888.0,11788.0,23671.0,,12065.0,8340.0,30084.0,12800.0,25467.0
"Pike County, Mississippi",24250.0,28,113,2018,12525.0,,45946.0,,21962.0,15664.0,24530.0,12604.0,17954.0
"Tallahatchie County, Mississippi",25701.0,28,135,2018,11670.0,,3200.0,,,,25931.0,,14943.0
"Smith County, Mississippi",26031.0,28,129,2018,13036.0,,94449.0,,,,26422.0,8800.0,23164.0
"Stone County, Mississippi",24651.0,28,131,2018,12930.0,16680.0,,,,4729.0,24948.0,13155.0,21931.0
"Warren County, Mississippi",32395.0,28,149,2018,15567.0,64708.0,31635.0,,11051.0,5620.0,32636.0,19548.0,23793.0
