NAME,B23025_001E,state,county,year,B23025_007E,B23025_005E,B23025_004E,B23025_003E,B23025_002E
"Washington County, Mississippi",36109.0,28,151,2018,15909.0,3041.0,17133.0,20174.0,20200.0
"Perry County, Mississippi",9508.0,28,111,2018,4557.0,337.0,4591.0,4928.0,4951.0
"Choctaw County, Mississippi",6718.0,28,19,2018,3316.0,301.0,3097.0,3398.0,3402.0
"Itawamba County, Mississippi",18949.0,28,57,2018,9026.0,414.0,9509.0,9923.0,9923.0
"Carroll County, Mississippi",8404.0,28,15,2018,4561.0,377.0,3466.0,3843.0,3843.0
"Grenada County, Mississippi",16882.0,28,43,2018,7924.0,617.0,8341.0,8958.0,8958.0
"Jefferson County, Mississippi",5830.0,28,63,2018,3813.0,152.0,1865.0,2017.0,2017.0
"Greene County, Mississippi",11370.0,28,41,2018,7073.0,394.0,3903.0,4297.0,4297.0
"Marshall County, Mississippi",28759.0,28,93,2018,13489.0,1006.0,14243.0,15249.0,15270.0
"Quitman County, Mississippi",5828.0,28,119,2018,2754.0,794.0,2280.0,3074.0,3074.0
"Bolivar County, Mississippi",25348.0,28,11,2018,13266.0,1267.0,10794.0,12061.0,12082.0
"Lamar County, Mississippi",47528.0,28,73,2018,16495.0,2964.0,27694.0,30658.0,31033.0
"Lee County, Mississippi",65439.0,28,81,2018,24535.0,2632.0,38207.0,40839.0,40904.0
"Pike County, Mississippi",30553.0,28,113,2018,15520.0,1106.0,13927.0,15033.0,15033.0
"Tallahatchie County, Mississippi",11853.0,28,135,2018,7386.0,634.0,3833.0,4467.0,4467.0
"Smith County, Mississippi",12593.0,28,129,2018,5798.0,232.0,6563.0,6795.0,6795.0
"Stone County, Mississippi",14884.0,28,131,2018,6570.0,401.0,7874.0,8275.0,8314.0
"Warren County, Mississippi",36835.0,28,149,2018,15892.0,1509.0,19368.0,20877.0,20943.0
"Clarke County, Mississippi",12733.0,28,23,2018,5832.0,564.0,6337.0,6901.0,6901.0
"Kemper County, Mississippi",8467.0,28,69,2018,4708.0,260.0,3499.0,3759.0,3759.0
"Montgomery County, Mississippi",8098.0,28,97,2018,3764.0,445.0,3886.0,4331.0,4334.0
"Oktibbeha County, Mississippi",41666.0,28,105,2018,18521.0,2279.0,20852.0,23131.0,23145.0
"Pearl River County, Mississippi",44172.0,28,109,2018,20515.0,1988.0,21599.0,23587.0,23657.0
"Leake County, Mississippi",17643.0,28,79,2018,8069.0,1053.0,8521.0,9574.0,9574.0
