state,county,year,population,White,Black,American_Indian,Asian,Native_Hawaian,Other,White-Black,White-AI,White-Asian,Black-AI,All-other-two,Three,Four,B19019_001E
Alabama,Alabama,2010,"4,785,437",,,,,,,,,,,,,,
Alabama,Autauga County,2010,"54,773",42031.0,9508.0,168.0,348.0,0.0,324.0,114.0,296.0,213.0,17.0,114.0,22.0,0.0,53255.0
Alabama,Baldwin County,2010,"183,112",151453.0,16613.0,1090.0,1149.0,6.0,3084.0,317.0,957.0,351.0,206.0,347.0,218.0,0.0,50147.0
Alabama,Barbour County,2010,"27,327",13759.0,12911.0,87.0,46.0,3.0,526.0,79.0,63.0,9.0,103.0,104.0,9.0,0.0,33219.0
Alabama,Bibb County,2010,"22,870",19038.0,3450.0,40.0,36.0,0.0,0.0,0.0,16.0,0.0,30.0,0.0,0.0,0.0,41770.0
Alabama,Blount County,2010,"57,376",53938.0,716.0,255.0,246.0,9.0,923.0,221.0,351.0,9.0,0.0,24.0,0.0,0.0,45549.0
Alabama,Bullock County,2010,"10,876",2589.0,8110.0,24.0,47.0,64.0,0.0,0.0,0.0,0.0,12.0,16.0,61.0,0.0,31602.0
Alabama,Butler County,2010,"20,932",11493.0,8969.0,28.0,176.0,0.0,0.0,73.0,104.0,0.0,0.0,52.0,0.0,0.0,30659.0
Alabama,Calhoun County,2010,"118,408",88451.0,23928.0,513.0,815.0,85.0,1811.0,622.0,436.0,172.0,86.0,129.0,101.0,0.0,38407.0
Alabama,Chambers County,2010,"34,122",20425.0,13527.0,17.0,145.0,0.0,57.0,94.0,207.0,29.0,18.0,60.0,0.0,0.0,31467.0
Alabama,Cherokee County,2010,"25,963",23842.0,1202.0,198.0,69.0,32.0,121.0,41.0,93.0,42.0,26.0,34.0,0.0,0.0,40690.0
Alabama,Chilton County,2010,"43,653",37736.0,4052.0,242.0,85.0,0.0,414.0,350.0,128.0,61.0,0.0,35.0,18.0,0.0,39486.0
Alabama,Choctaw County,2010,"13,849",7823.0,6064.0,0.0,39.0,0.0,10.0,0.0,123.0,0.0,0.0,52.0,0.0,0.0,31076.0
Alabama,Clarke County,2010,"25,766",14451.0,10990.0,483.0,108.0,0.0,30.0,36.0,85.0,0.0,66.0,6.0,0.0,0.0,27439.0
Alabama,Clay County,2010,"13,898",11562.0,2160.0,59.0,0.0,0.0,65.0,83.0,111.0,0.0,0.0,0.0,0.0,0.0,35595.0
Alabama,Cleburne County,2010,"15,004",13983.0,606.0,32.0,2.0,0.0,23.0,61.0,98.0,8.0,0.0,10.0,0.0,0.0,36077.0
Alabama,Coffee County,2010,"50,208",37460.0,8377.0,417.0,536.0,44.0,314.0,202.0,571.0,188.0,21.0,145.0,74.0,0.0,42253.0
Alabama,Colbert County,2010,"54,524",44325.0,8745.0,337.0,262.0,0.0,153.0,189.0,208.0,0.0,63.0,164.0,0.0,0.0,39610.0
Alabama,Conecuh County,2010,"13,236",6972.0,6189.0,122.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,26944.0
Alabama,Coosa County,2010,"11,780",7517.0,3874.0,0.0,0.0,0.0,14.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,35560.0
Alabama,Covington County,2010,"37,809",31901.0,4837.0,81.0,188.0,51.0,307.0,163.0,72.0,8.0,0.0,0.0,0.0,0.0,33852.0
Alabama,Crenshaw County,2010,"13,869",10196.0,2901.0,116.0,531.0,0.0,0.0,82.0,50.0,34.0,0.0,0.0,18.0,0.0,35140.0
Alabama,Cullman County,2010,"80,456",76819.0,729.0,544.0,355.0,20.0,465.0,238.0,453.0,27.0,4.0,134.0,153.0,0.0,38567.0
