state,county,year,population
Alabama,Alabama,2010,"4,785,437"
Alabama,Autauga County,2010,"54,773"
Alabama,Baldwin County,2010,"183,112"
Alabama,Barbour County,2010,"27,327"
Alabama,Bibb County,2010,"22,870"
Alabama,Blount County,2010,"57,376"
Alabama,Bullock County,2010,"10,876"
Alabama,Butler County,2010,"20,932"
Alabama,Calhoun County,2010,"118,408"
Alabama,Chambers County,2010,"34,122"
Alabama,Cherokee County,2010,"25,963"
Alabama,Chilton County,2010,"43,653"
Alabama,Choctaw County,2010,"13,849"
Alabama,Clarke County,2010,"25,766"
Alabama,Clay County,2010,"13,898"
Alabama,Cleburne County,2010,"15,004"
Alabama,Coffee County,2010,"50,208"
Alabama,Colbert County,2010,"54,524"
Alabama,Conecuh County,2010,"13,236"
Alabama,Coosa County,2010,"11,780"
Alabama,Covington County,2010,"37,809"
Alabama,Crenshaw County,2010,"13,869"
Alabama,Cullman County,2010,"80,456"
Alabama,Dale County,2010,"50,394"
Alabama,Dallas County,2010,"43,854"
Alabama,DeKalb County,2010,"71,163"
Alabama,Elmore County,2010,"79,552"
Alabama,Escambia County,2010,"38,345"
Alabama,Etowah County,2010,"104,459"
Alabama,Fayette County,2010,"17,229"
Alabama,Franklin County,2010,"31,746"
Alabama,Geneva County,2010,"26,777"
Alabama,Greene County,2010,"8,991"
Alabama,Hale County,2010,"15,745"
Alabama,Henry County,2010,"17,296"
Alabama,Houston County,2010,"101,798"
Alabama,Jackson County,2010,"53,184"
Alabama,Jefferson County,2010,"658,215"
Alabama,Lamar County,2010,"14,496"
Alabama,Lauderdale County,2010,"92,737"
Alabama,Lawrence County,2010,"34,342"
Alabama,Lee County,2010,"140,794"
Alabama,Limestone County,2010,"83,181"
Alabama,Lowndes County,2010,"11,289"
Alabama,Macon County,2010,"21,505"
Alabama,Madison County,2010,"336,095"
Alabama,Marengo County,2010,"20,956"
Alabama,Marion County,2010,"30,816"
Alabama,Marshall County,2010,"93,122"
Alabama,Mobile County,2010,"413,315"
Alabama,Monroe County,2010,"23,005"
Alabama,Montgomery County,2010,"229,505"
Alabama,Morgan County,2010,"119,608"
Alabama,Perry County,2010,"10,563"
Alabama,Pickens County,2010,"19,749"
Alabama,Pike County,2010,"32,970"
Alabama,Randolph County,2010,"22,937"
Alabama,Russell County,2010,"53,321"
Alabama,St. Clair County,2010,"83,571"
Alabama,Shelby County,2010,"196,032"
Alabama,Sumter County,2010,"13,730"
Alabama,Talladega County,2010,"82,172"
Alabama,Tallapoosa County,2010,"41,476"
Alabama,Tuscaloosa County,2010,"194,996"
Alabama,Walker County,2010,"66,997"
Alabama,Washington County,2010,"17,626"
Alabama,Wilcox County,2010,"11,560"
Alabama,Winston County,2010,"24,412"
Alaska,Alaska,2010,"713,910"
Alaska,Aleutians East Borough,2010,"3,166"
Alaska,Aleutians West Census Area,2010,"5,559"
Alaska,Anchorage Municipality,2010,"293,321"
Alaska,Bethel Census Area,2010,"17,084"
Alaska,Bristol Bay Borough,2010,"1,002"
Alaska,Denali Borough,2010,"1,835"
Alaska,Dillingham Census Area,2010,"4,850"
Alaska,Fairbanks North Star Borough,2010,"98,264"
Alaska,Haines Borough,2010,"2,501"
Alaska,Hoonah-Angoon Census Area,2010,"2,107"
Alaska,Juneau City and Borough,2010,"31,387"
Alaska,Kenai Peninsula Borough,2010,"55,554"
Alaska,Ketchikan Gateway Borough,2010,"13,573"
Alaska,Kodiak Island Borough,2010,"13,646"
Alaska,Kusilvak Census Area,2010,"7,467"
Alaska,Lake and Peninsula Borough,2010,"1,639"
Alaska,Matanuska-Susitna Borough,2010,"89,732"
Alaska,Nome Census Area,2010,"9,543"
Alaska,North Slope Borough,2010,"9,478"
Alaska,Northwest Arctic Borough,2010,"7,560"
Alaska,Petersburg Borough,2010,"3,219"
Alaska,Prince of Wales-Hyder Census Area,2010,"6,211"
Alaska,Sitka City and Borough,2010,"8,881"
Alaska,Skagway Municipality,2010,968
Alaska,Southeast Fairbanks Census Area,2010,"7,061"
Alaska,Valdez-Cordova Census Area,2010,"9,657"
Alaska,Wrangell City and Borough,2010,"2,371"
Alaska,Yakutat City and Borough,2010,662
Alaska,Yukon-Koyukuk Census Area,2010,"5,612"
Arizona,Arizona,2010,"6,407,172"
Arizona,Apache County,2010,"71,829"
Arizona,Cochise County,2010,"131,822"
Arizona,Coconino County,2010,"134,612"
Arizona,Gila County,2010,"53,561"
Arizona,Graham County,2010,"37,152"
Arizona,Greenlee County,2010,"8,339"
Arizona,La Paz County,2010,"20,497"
Arizona,Maricopa County,2010,"3,825,110"
Arizona,Mohave County,2010,"200,314"
Arizona,Navajo County,2010,"107,697"
Arizona,Pima County,2010,"981,620"
Arizona,Pinal County,2010,"379,094"
Arizona,Santa Cruz County,2010,"47,415"
Arizona,Yavapai County,2010,"210,983"
Arizona,Yuma County,2010,"197,127"
Arkansas,Arkansas,2010,"2,921,964"
Arkansas,Arkansas County,2010,"19,009"
Arkansas,Ashley County,2010,"21,829"
Arkansas,Baxter County,2010,"41,510"
Arkansas,Benton County,2010,"222,593"
Arkansas,Boone County,2010,"36,893"
Arkansas,Bradley County,2010,"11,470"
Arkansas,Calhoun County,2010,"5,362"
Arkansas,Carroll County,2010,"27,553"
Arkansas,Chicot County,2010,"11,799"
Arkansas,Clark County,2010,"22,925"
Arkansas,Clay County,2010,"16,050"
Arkansas,Cleburne County,2010,"25,986"
Arkansas,Cleveland County,2010,"8,677"
Arkansas,Columbia County,2010,"24,723"
Arkansas,Conway County,2010,"21,219"
Arkansas,Craighead County,2010,"96,748"
Arkansas,Crawford County,2010,"61,956"
